PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2/22/2023,03:12.7,1,1,"Grizzard, Caleb",1000213577,Left,ROA_COL,"Gardner, Brody",1000186552,Undefined,GRE_COL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.19385,-3.637657,4.447171,2216.196606,144.063914,10:45,6.05251,-1.23455,5.34835,-17.85501,19.49269,-13.33576,1.13757,1.83396,80.70623,-6.958262,2.087605,0.439849,,,,,,,,,,,,7.78993,11.01178,0.8433,50,5.71099,-9.23837,-126.155,-8.62393,12.73019,22.29175,-14.17874,ROA_COL,GRE_COL,LewisGale,D3,ODAC,20230222-LewisGale-1,4fee8730-b2f4-11ed-8aa0-0f6d3ceffa79,85.69407,,,6.48762,,,,,,,98e91228-f8e8-4772-a4c0-d2916a8258d3,2/22/2023,03:12.7,2023-02-22T16:03:12.6840000-05:00,2023-02-22T21:03:12.6840000Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,8184fddd-c747-4add-a5da-ecaac3e0ddcd,55.15387,-127.06244,11.14588,6.0503,-8.04675,-7.08937,1.22991,-9.75658,6.3651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2/22/2023,03:28.4,1,2,"Grizzard, Caleb",1000213577,Left,ROA_COL,"Gardner, Brody",1000186552,Undefined,GRE_COL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,86.77123,-1.020822,3.141051,2197.497151,146.684141,11:00,6.04873,-1.2714,5.29669,-17.23729,21.00418,-12.94977,3.6523,0.60154,78.71157,-4.294447,0.847289,0.445081,73.06806,34.146506,-22.022519,3316.530175,101.87308,63.21893,-41.49521,239.0096,234.51761,-22.681201,4.662661,7.43237,11.20812,0.99538,50,5.94385,-6.32796,-125.68974,-2.76976,11.82221,26.82353,-14.346,ROA_COL,GRE_COL,LewisGale,D3,ODAC,20230222-LewisGale-1,595720c0-b2f4-11ed-8aa0-0f6d3ceffa79,84.68677,68.77126,,8.05966,,,,1.80042,3.6915,-0.58462,98e91228-f8e8-4772-a4c0-d2916a8258d3,2/22/2023,03:28.5,2023-02-22T16:03:28.4530000-05:00,2023-02-22T21:03:28.4530000Z,FlyBall,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,1e9c09a3-e98b-419f-8ddd-814384d7cf9c,55.20299,-126.79525,13.41177,6.04582,-2.1785,-7.173,1.26622,-6.8152,5.91111,179.094444,1.80178,82.19082,-15.68289,3.1981,-0.46825,0.03767,-0.00227,0.00058,-6.00E-05,3.69134,60.15572,-14.94731,0.6667,-0.11282,-0.00229,0.01136,-0.00264,0.00018,-0.5851,-33.24612,6.14581,-1.27836,0.18737,-0.0135,0.00013,-9.00E-05,2.00E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2/22/2023,03:58.7,2,1,"Grizzard, Caleb",1000213577,Left,ROA_COL,"Weber, Adam",1000084357,Right,GRE_COL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,,86.10255,-3.881767,5.165725,2180.451184,142.419414,10:45,6.05239,-1.38151,5.21049,-21.92619,17.10064,-12.17678,0.55428,2.47483,78.96757,-7.928773,3.019749,0.449628,,,,,,,,,,,,7.62217,10.01981,0.91255,50,5.67543,-10.72292,-124.26373,-9.21246,11.93618,24.54634,-16.48321,ROA_COL,GRE_COL,LewisGale,D3,ODAC,20230222-LewisGale-1,6b52b460-b2f4-11ed-8aa0-0f6d3ceffa79,83.83035,,,7.13498,,,,,,,98e91228-f8e8-4772-a4c0-d2916a8258d3,2/22/2023,03:58.7,2023-02-22T16:03:58.6660000-05:00,2023-02-22T21:03:58.6660000Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,5a30d136-1d48-47ee-a73c-01f9fca89da8,55.29242,-125.3048,12.27317,6.05133,-8.51337,-8.2416,1.37807,-11.22916,5.96809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2/22/2023,04:33.0,3,1,"Grizzard, Caleb",1000213577,Left,ROA_COL,"Morehouse , Connor",1000175235,Undefined,GRE_COL,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.76441,-1.687055,2.725965,2150.295788,138.716508,10:30,5.76789,-1.77663,5.17117,-21.75458,16.50489,-13.63461,2.36508,-0.34554,80.08747,-5.680808,0.313894,0.445186,,,,,,,,,,,,7.40654,8.91839,1.53344,50,5.59401,-5.34493,-124.60524,-4.43351,11.92051,19.47529,-17.82033,ROA_COL,GRE_COL,LewisGale,D3,ODAC,20230222-LewisGale-1,7fd5b630-b2f4-11ed-8aa0-0f6d3ceffa79,84.66681,,,5.67693,,,,,,,98e91228-f8e8-4772-a4c0-d2916a8258d3,2/22/2023,04:33.0,2023-02-22T16:04:33.0410000-05:00,2023-02-22T21:04:33.0410000Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,71a97b7b-f364-480c-afdd-10c8df72f393,55.33163,-125.43578,9.73764,5.76687,-3.67355,-8.91017,1.77222,-5.85329,5.96025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2/22/2023,05:17.9,3,2,"Grizzard, Caleb",1000213577,Left,ROA_COL,"Morehouse , Connor",1000175235,Undefined,GRE_COL,Undefined,1,Top,1,0,1,Fastball,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,,85.66292,-0.360828,5.295677,2098.733244,146.863286,11:00,5.99195,-1.76299,5.03194,-20.48367,18.4984,-11.37827,3.94306,2.29967,79.2851,-4.141894,3.300106,0.44937,,,,,,,,,,,,6.92595,9.6228,1.26521,50,5.94133,-11.00484,-124.02556,-1.49321,10.97517,20.77099,-16.92526,ROA_COL,GRE_COL,LewisGale,D3,ODAC,20230222-LewisGale-1,9a9258c0-b2f4-11ed-8aa0-0f6d3ceffa79,83.87844,,,6.37782,,,,,,,98e91228-f8e8-4772-a4c0-d2916a8258d3,2/22/2023,05:18.0,2023-02-22T16:05:17.9550000-05:00,2023-02-22T21:05:17.9550000Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,c2662fbb-48b8-4a37-b1fd-d09d8275e973,55.47103,-124.93846,10.3855,5.99061,-0.74933,-8.46263,1.75948,-11.4872,5.48759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2/22/2023,05:51.7,4,1,"Grizzard, Caleb",1000213577,Left,ROA_COL,"Edmonds, Cameron",1000124166,Right,GRE_COL,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,84.95692,-0.48046,2.257951,2178.674702,139.948106,10:45,5.88162,-1.83954,5.07908,-21.48218,18.3917,-14.4028,3.63815,-0.91011,77.66099,-4.482837,-0.286121,0.454481,,,,,,,,,,,,7.74304,9.63331,1.63731,50,5.81967,-4.21482,-123.20656,-1.75167,11.93052,23.92873,-17.33101,ROA_COL,GRE_COL,LewisGale,D3,ODAC,20230222-LewisGale-1,aeb957e0-b2f4-11ed-8aa0-0f6d3ceffa79,82.93515,,,7.29593,,,,,,,98e91228-f8e8-4772-a4c0-d2916a8258d3,2/22/2023,05:51.7,2023-02-22T16:05:51.6620000-05:00,2023-02-22T21:05:51.6620000Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,c35695a4-ac8e-444e-8d97-2be0490e7e7c,55.42023,-124.2548,11.96437,5.87978,-0.99245,-8.6655,1.83339,-4.73746,5.96526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2/22/2023,06:08.2,4,2,"Grizzard, Caleb",1000213577,Left,ROA_COL,"Edmonds, Cameron",1000124166,Right,GRE_COL,Undefined,1,Top,1,1,0,Fastball,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,84.56052,0.205157,2.021043,2190.071574,141.658348,10:45,5.94671,-1.73226,5.10525,-20.74741,19.49548,-14.41127,4.41118,-1.0281,77.1492,-3.678715,-0.525769,0.456579,,,,,,,,,,,,7.68843,10.00134,1.55329,50,5.95044,-3.68663,-122.63761,-0.23406,11.72318,23.98013,-16.92418,ROA_COL,GRE_COL,LewisGale,D3,ODAC,20230222-LewisGale-1,b8854720-b2f4-11ed-8aa0-0f6d3ceffa79,82.55399,,,7.41132,,,,,,,98e91228-f8e8-4772-a4c0-d2916a8258d3,2/22/2023,06:08.2,2023-02-22T16:06:08.1890000-05:00,2023-02-22T21:06:08.1890000Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,a9c37bf2-5b0d-445d-9994-e5c81c16063b,55.39367,-123.68778,11.99007,5.94446,0.5071,-8.46209,1.72598,-4.20002,5.86159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2/22/2023,06:29.1,4,3,"Grizzard, Caleb",1000213577,Left,ROA_COL,"Edmonds, Cameron",1000124166,Right,GRE_COL,Undefined,1,Top,1,2,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.85862,0.02311,1.522135,2024.098443,140.921325,10:45,5.93946,-1.79452,5.26082,-22.98442,18.53958,-14.01973,4.04581,-1.53242,75.90506,-4.264283,-0.963682,0.46379,,,,,,,,,,,,7.40217,9.64607,1.66581,50,5.925,-2.59997,-120.27301,-0.68728,10.8861,22.45099,-17.98787,ROA_COL,GRE_COL,LewisGale,D3,ODAC,20230222-LewisGale-1,c5072ea0-b2f4-11ed-8aa0-0f6d3ceffa79,81.27054,,,6.95356,,,,,,,98e91228-f8e8-4772-a4c0-d2916a8258d3,2/22/2023,06:29.1,2023-02-22T16:06:29.1360000-05:00,2023-02-22T21:06:29.1360000Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,34b2f034-79e2-437b-9022-18624c06f075,55.23877,-121.24697,11.2255,5.93789,0.09307,-8.99394,1.78885,-3.07223,5.44305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2/22/2023,06:49.0,4,4,"Grizzard, Caleb",1000213577,Left,ROA_COL,"Edmonds, Cameron",1000124166,Right,GRE_COL,Undefined,1,Top,1,3,0,Fastball,Splitter,BallCalled,Walk,Undefined,Undefined,0,0,,83.26098,0.270675,2.353309,2147.274502,145.419383,10:45,5.93967,-1.57113,5.12905,-20.52363,21.15541,-13.63099,4.48451,-0.4894,75.60587,-3.594336,-0.055692,0.464654,,,,,,,,,,,,7.40662,10.82316,1.36094,50,5.94987,-4.35657,-120.65353,-0.06423,10.88244,24.18716,-16.27173,ROA_COL,GRE_COL,LewisGale,D3,ODAC,20230222-LewisGale-1,d0e1b290-b2f4-11ed-8aa0-0f6d3ceffa79,81.11928,,,7.65511,,,,,,,98e91228-f8e8-4772-a4c0-d2916a8258d3,2/22/2023,06:49.0,2023-02-22T16:06:49.0050000-05:00,2023-02-22T21:06:49.0050000Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,4baac1af-a4f1-4935-ab66-b0b84fa3e453,55.36848,-121.72498,12.09358,5.93675,0.65658,-8.13586,1.56461,-4.83865,5.44122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2/22/2023,08:02.0,5,1,"Grizzard, Caleb",1000213577,Left,ROA_COL,"Sykes, Evan",10069315,Right,GRE_COL,Undefined,1,Top,1,0,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,2,0,,83.0704,-1.13473,2.623196,2078.268676,138.22369,10:30,5.90332,-1.78048,5.18966,-23.3693,18.12863,-15.03359,2.88711,-0.56374,76.14875,-5.475949,-0.037373,0.463644,98.01344,3.843971,-12.883871,2387.524829,,,,81.71039,80.07871,-14.597744,0.604055,8.24,9.74745,1.54888,50,5.78063,-4.88542,-120.48063,-3.15577,12.15395,22.64074,-17.79661,ROA_COL,GRE_COL,LewisGale,D3,ODAC,20230222-LewisGale-1,fc6d4fa0-b2f4-11ed-8aa0-0f6d3ceffa79,81.29609,3.8565,,6.92165,,,,1.76916,2.94468,0.53561,98e91228-f8e8-4772-a4c0-d2916a8258d3,2/22/2023,08:02.0,2023-02-22T16:08:02.0290000-05:00,2023-02-22T21:08:02.0290000Z,GroundBall,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,cfa22986-4ce9-4d79-ba29-5a1c98a187c9,55.31125,-121.47462,11.32037,5.90202,-2.37445,-8.89831,1.77508,-5.41901,6.07698,51.975509,1.79067,139.34031,-18.93079,,,,,,,2.97693,8.91679,-23.00282,,,,,,,0.55483,-32.41275,-4.34949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
