PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2/24/2023,12:46.0,1,1,"Murphy, Jackson",10061473,Right,ROA_COL,"Posencheg, Dylan",1000220553,Right,DIC_RED,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.59633,-2.203469,-4.241935,2279.809837,226.358301,1:30,5.77914,1.76942,6.38682,-23.44584,12.80316,12.36001,1.79184,-1.10976,80.32714,-6.592571,-2.010068,0.433331,,,,,,,,,,,,-7.46276,7.53512,-1.46915,50,5.60906,8.85603,-125.66412,-5.52951,-12.104,22.05254,-19.95266,ROA_COL,DIC_RED,LewisGale,D3,ODAC,20230224-LewisGale-2,ffe8b9a0-b487-11ed-ae51-29af7b70e984,86.98309,,,6.26919,,,,,,,ffdfdfd8-0912-425f-b916-a926dc77b4dc,2/24/2023,12:46.0,2023-02-24T16:12:45.9852626-05:00,2023-02-24T21:12:45.9852626Z,,v3,,,,"Gustafson, George",1000213578,Right,ROA_COL,c92dad0b-20b0-42a1-9a19-d7839229dbff,54.1152,-126.38423,11.02627,5.77898,-4.87798,-9.97633,-1.76478,9.25127,-6.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2/24/2023,12:57.0,1,2,"Murphy, Jackson",10061473,Right,ROA_COL,"Posencheg, Dylan",1000220553,Right,DIC_RED,Undefined,1,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.18399,0.570021,-1.122107,2440.832535,86.591971,9:00,5.74295,1.75264,5.13829,-51.20641,0.09122,-26.82714,2.01263,-1.53973,68.85717,-8.710295,-5.870662,0.51549,,,,,,,,,,,,12.98784,0.3935,-1.62602,50,5.75711,3.18757,-109.06321,-0.63776,15.47158,21.14902,-31.7053,ROA_COL,DIC_RED,LewisGale,D3,ODAC,20230224-LewisGale-2,068d2a20-b488-11ed-ae51-29af7b70e984,73.11967,,,6.32681,,,,,,,ffdfdfd8-0912-425f-b916-a926dc77b4dc,2/24/2023,12:57.0,2023-02-24T16:12:57.0261330-05:00,2023-02-24T21:12:57.0261330Z,,v3,,,,"Gustafson, George",1000213578,Right,ROA_COL,046ca708-ae52-4afb-8678-93400eb02588,55.3641,-110.09848,10.57451,5.75034,0.91426,-15.85265,-1.76352,2.43022,7.73579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2/24/2023,13:08.7,1,3,"Murphy, Jackson",10061473,Right,ROA_COL,"Posencheg, Dylan",1000220553,Right,DIC_RED,Undefined,1,Top,0,1,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,86.8355,-1.762484,-3.077323,2409.208234,212.881273,1:00,5.81626,1.88143,6.33498,-21.73178,14.21776,8.56154,2.37957,-0.24136,80.67964,-5.839057,-1.530351,0.431537,92.89725,15.858902,8.585292,2162.665752,107.73544,25.43259,22.20453,286.69533,284.67234,16.918431,2.958961,-5.21437,8.14422,-1.66113,50,5.67712,6.46881,-126.22573,-4.51908,-8.54625,21.87294,-18.8259,ROA_COL,DIC_RED,LewisGale,D3,ODAC,20230224-LewisGale-2,0d700330-b488-11ed-ae51-29af7b70e984,87.34464,28.42637,,6.15586,,,,2.27241,2.45358,0.21155,ffdfdfd8-0912-425f-b916-a926dc77b4dc,2/24/2023,13:08.7,2023-02-24T16:13:08.7254866-05:00,2023-02-24T21:13:08.7254866Z,LineDrive,v3,,,,"Gustafson, George",1000213578,Right,ROA_COL,58282fc0-eeb3-4ad5-ad6a-a7b759a7c35f,54.16783,-126.94589,10.93647,5.8157,-3.89924,-9.41295,-1.87875,6.75019,-4.27312,226.18838,2.27242,129.59492,-21.02391,4.54529,-0.93085,0.17735,-0.02958,0.00356,-0.00021,2.4536,37.23085,-13.68245,0.16691,0.08771,-0.03346,0.0078,-0.00087,4.00E-05,0.21155,19.56424,5.61443,-1.66138,0.42666,-0.0942,0.0167,-0.00203,0.00012,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2/24/2023,13:42.3,2,1,"Murphy, Jackson",10061473,Right,ROA_COL,"Tagliareni, Kenny",1000220597,Left,DIC_RED,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.29787,-0.66434,-3.244225,2291.518003,238.271642,2:00,5.81858,2.25376,5.68153,-25.73356,12.14005,17.67548,3.05381,0.69927,78.86509,-5.456726,-0.088803,0.442935,,,,,,,,,,,,-9.82071,6.71536,-1.99122,50,5.74648,6.34074,-125.16088,-2.30315,-15.58655,25.13581,-21.51606,ROA_COL,DIC_RED,LewisGale,D3,ODAC,20230224-LewisGale-2,2181cca0-b488-11ed-ae51-29af7b70e984,85.09705,,,7.43278,,,,,,,ffdfdfd8-0912-425f-b916-a926dc77b4dc,2/24/2023,13:42.3,2023-02-24T16:13:42.3145298-05:00,2023-02-24T21:13:42.3145298Z,,v3,,,,"Gustafson, George",1000213578,Right,ROA_COL,653afa68-e408-4816-9063-b21cf6bc9273,54.8184,-126.12484,12.5679,5.81898,-1.47801,-10.75803,-2.24585,6.93849,-7.79328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2/24/2023,14:12.2,2,2,"Murphy, Jackson",10061473,Right,ROA_COL,"Tagliareni, Kenny",1000220597,Left,DIC_RED,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.98725,0.172781,-2.19764,1709.200105,252.41715,2:30,5.65337,2.28615,5.90987,-35.7197,6.44851,16.54859,2.83722,1.62436,74.88239,-6.423528,0.773779,0.467373,,,,,,,,,,,,-9.0078,3.65358,-2.119,50,5.64681,3.8851,-117.73325,-0.77478,-12.76486,20.3378,-26.9966,ROA_COL,DIC_RED,LewisGale,D3,ODAC,20230224-LewisGale-2,3352cdd0-b488-11ed-ae51-29af7b70e984,80.64738,,,6.10486,,,,,,,ffdfdfd8-0912-425f-b916-a926dc77b4dc,2/24/2023,14:12.2,2023-02-24T16:14:12.2372946-05:00,2023-02-24T21:14:12.2372946Z,,v3,,,,"Gustafson, George",1000213578,Right,ROA_COL,c9fd3154-a8c0-458c-acab-b5e43c3aa051,54.59201,-118.52384,10.1689,5.65653,0.27467,-13.4983,-2.27967,4.38131,-6.38243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2/24/2023,14:31.0,2,3,"Murphy, Jackson",10061473,Right,ROA_COL,"Tagliareni, Kenny",1000220597,Left,DIC_RED,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.9534,-0.549887,-2.734436,2397.616338,229.494786,1:45,5.92411,2.22191,6.04061,-24.22875,12.11638,12.98875,3.39531,0.77053,80.38626,-5.072567,-0.399168,0.433905,,,,,,,,,,,,-7.34863,6.69906,-2.01543,50,5.86795,5.51633,-126.38455,-1.97414,-12.03234,22.7861,-21.20527,ROA_COL,DIC_RED,LewisGale,D3,ODAC,20230224-LewisGale-2,3e7ffac0-b488-11ed-ae51-29af7b70e984,86.86799,,,6.56715,,,,,,,ffdfdfd8-0912-425f-b916-a926dc77b4dc,2/24/2023,14:31.0,2023-02-24T16:14:30.9932370-05:00,2023-02-24T21:14:30.9932370Z,,v3,,,,"Gustafson, George",1000213578,Right,ROA_COL,bd3baae8-aabf-41ee-8ed9-f465c662f2d7,54.46093,-127.18628,11.39305,5.92428,-1.22803,-10.60263,-2.21697,5.93969,-6.01617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2/24/2023,14:49.2,2,4,"Murphy, Jackson",10061473,Right,ROA_COL,"Tagliareni, Kenny",1000220597,Left,DIC_RED,Undefined,1,Top,0,1,2,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,2,0,,87.47215,-1.196133,-2.902159,2286.878135,251.690863,2:30,5.77425,2.2607,5.72701,-29.68521,6.94536,17.61906,2.18482,1.02361,80.45541,-6.671152,0.249713,0.435605,81.89778,3.30602,14.034281,1969.719854,,,,61.34825,61.17807,14.353422,0.525057,-9.83056,4.16874,-2.02973,50,5.65582,5.71569,-126.99691,-3.68004,-16.11717,25.06133,-25.33942,ROA_COL,DIC_RED,LewisGale,D3,ODAC,20230224-LewisGale-2,4958c620-b488-11ed-ae51-29af7b70e984,86.52887,2.82294,,7.01674,,,,1.94335,2.28535,-1.03104,ffdfdfd8-0912-425f-b916-a926dc77b4dc,2/24/2023,14:49.2,2023-02-24T16:14:49.1788114-05:00,2023-02-24T21:14:49.1788114Z,GroundBall,v3,,,,"Gustafson, George",1000213578,Right,ROA_COL,74527243-e6d4-4b1e-857e-f55e113d8846,54.77604,-127.93594,12.53066,5.77592,-2.7306,-12.66971,-2.25521,6.31959,-8.05859,307.358135,1.94932,116.18493,-12.78812,,,,,,,2.29884,6.58346,-20.92409,,,,,,,-1.0384,29.26825,3.21465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2/24/2023,15:20.2,3,1,"Murphy, Jackson",10061473,Right,ROA_COL,"Torres, Matthew",1000220598,Right,DIC_RED,Undefined,1,Top,2,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.30693,0.617168,-1.114125,2414.052726,75.204573,8:30,5.74596,1.82161,5.33595,-56.24322,-4.44851,-22.91442,1.6382,-1.13334,68.56656,-9.564951,-5.18927,0.517981,,,,,,,,,,,,11.15005,-1.89201,-1.70421,50,5.7614,2.96334,-107.91264,-0.68627,13.08518,19.61691,-34.39443,ROA_COL,DIC_RED,LewisGale,D3,ODAC,20230224-LewisGale-2,5bdbd940-b488-11ed-ae51-29af7b70e984,72.76794,,,5.74037,,,,,,,ffdfdfd8-0912-425f-b916-a926dc77b4dc,2/24/2023,15:20.2,2023-02-24T16:15:20.1842514-05:00,2023-02-24T21:15:20.1842514Z,,v3,,,,"Gustafson, George",1000213578,Right,ROA_COL,bef59dae-19c7-4616-8f90-9faa1babcfaf,55.16784,-108.84802,9.80846,5.75503,0.95374,-17.19722,-1.83063,2.33941,6.54259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2/24/2023,15:33.1,3,2,"Murphy, Jackson",10061473,Right,ROA_COL,"Torres, Matthew",1000220598,Right,DIC_RED,Undefined,1,Top,2,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.00212,-1.325707,-3.805241,2415.59809,224.810801,1:30,5.86442,1.73163,6.34791,-22.81013,12.01099,11.05717,2.74029,-0.85502,82.15436,-5.584494,-1.809034,0.42471,,,,,,,,,,,,-6.58933,6.84241,-1.45991,50,5.7569,8.08703,-127.91562,-3.65202,-11.16349,20.81344,-20.58186,ROA_COL,DIC_RED,LewisGale,D3,ODAC,20230224-LewisGale-2,63855db0-b488-11ed-ae51-29af7b70e984,88.7486,,,5.84776,,,,,,,ffdfdfd8-0912-425f-b916-a926dc77b4dc,2/24/2023,15:33.1,2023-02-24T16:15:33.1274066-05:00,2023-02-24T21:15:33.1274066Z,,v3,,,,"Gustafson, George",1000213578,Right,ROA_COL,d6168a47-22d4-4b89-a789-e5b362e8c24d,54.15488,-128.58989,10.40672,5.86441,-2.98525,-10.29093,-1.72776,8.44869,-5.58175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2/24/2023,15:44.7,3,3,"Murphy, Jackson",10061473,Right,ROA_COL,"Torres, Matthew",1000220598,Right,DIC_RED,Undefined,1,Top,2,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.64187,1.489097,-0.827728,2404.385047,96.666578,9:15,5.65507,1.92435,5.36694,-43.80837,2.73126,-13.01792,3.40112,0.06334,72.3042,-6.478548,-3.140927,0.491001,,,,,,,,,,,,6.3391,1.4291,-1.84061,50,5.75743,2.13719,-112.89346,1.46268,8.31367,17.42776,-30.29983,ROA_COL,DIC_RED,LewisGale,D3,ODAC,20230224-LewisGale-2,6a7751f0-b488-11ed-ae51-29af7b70e984,76.76645,,,5.33767,,,,,,,ffdfdfd8-0912-425f-b916-a926dc77b4dc,2/24/2023,15:44.7,2023-02-24T16:15:44.6965586-05:00,2023-02-24T21:15:44.6965586Z,,v3,,,,"Gustafson, George",1000213578,Right,ROA_COL,42a0abe5-64cb-461d-8f6d-00eeb1fb59b0,55.1357,-113.68351,8.71388,5.65999,2.83626,-15.14992,-1.92895,1.76031,4.15684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
