PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2/26/2023,03:16.6,1,1,"Robinson, Jack",10032618,Right,ROA_COL,"McGonigle, Tyler",1000016222,Right,ELI_BLU,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.19135,-2.324902,-1.929337,2099.249978,218.020225,1:15,6.22898,0.52118,5.28818,-22.3958,15.92757,11.53678,2.17703,-0.32985,79.33443,-6.467639,0.118127,0.445557,,,,,,,,,,,,-6.26347,8.93717,-0.35402,50,6.00081,3.70449,-125.02024,-5.83954,-9.97781,23.66712,-17.93699,ROA_COL,ELI_BLU,LewisGale,D3,ODAC,20230226-LewisGale-2,3cd94920-b608-11ed-ae51-29af7b70e984,84.59621,,,6.85692,,,,,,,ac8b7f94-152a-44d2-bf26-4ed625c44743,2/26/2023,03:16.6,2023-02-26T14:03:16.5980000-05:00,2023-02-26T19:03:16.5980000Z,,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,e8e58283-00e3-463c-a2df-b6f0c6485c43,55.21169,-126.00298,11.83356,6.22783,-5.09473,-8.96849,-0.51645,4.11881,-4.9889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2/26/2023,03:31.2,1,2,"Robinson, Jack",10032618,Right,ROA_COL,"McGonigle, Tyler",1000016222,Right,ELI_BLU,Undefined,1,Top,0,1,0,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,88.26779,-2.350595,-2.890974,2165.652041,234.123359,1:45,6.15687,0.78147,5.22415,-25.26458,11.18335,14.02253,1.83748,-0.77029,81.76797,-6.96997,-0.406573,0.434518,,,,,,,,,,,,-7.74398,6.48241,-0.52569,50,5.92082,5.84627,-128.05212,-6.19385,-13.02116,23.30129,-21.27416,ROA_COL,ELI_BLU,LewisGale,D3,ODAC,20230226-LewisGale-2,4584d440-b608-11ed-ae51-29af7b70e984,86.74539,,,6.49982,,,,,,,ac8b7f94-152a-44d2-bf26-4ed625c44743,2/26/2023,03:31.2,2023-02-26T14:03:31.1560000-05:00,2023-02-26T19:03:31.1560000Z,,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,84c7abeb-d5cc-46a8-bcaa-ec52ed92612b,55.27822,-129.009,11.65064,6.15724,-5.32021,-10.63708,-0.77675,6.38099,-6.51058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2/26/2023,03:52.3,1,3,"Robinson, Jack",10032618,Right,ROA_COL,"McGonigle, Tyler",1000016222,Right,ELI_BLU,Undefined,1,Top,0,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.35513,0.245106,-2.27316,2107.577228,223.876977,1:30,6.34591,0.22664,5.25546,-24.08801,12.72902,11.07536,4.56906,-0.98744,80.32395,-4.229149,-0.310644,0.436713,,,,,,,,,,,,-6.13981,6.64693,-0.02647,50,6.35095,4.57104,-128.07906,-0.30968,-10.16779,27.20579,-21.16649,ROA_COL,ELI_BLU,LewisGale,D3,ODAC,20230226-LewisGale-2,52258e60-b608-11ed-ae51-29af7b70e984,86.30947,,,8.03119,,,,,,,ac8b7f94-152a-44d2-bf26-4ed625c44743,2/26/2023,03:52.3,2023-02-26T14:03:52.3490000-05:00,2023-02-26T19:03:52.3490000Z,,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,0f12ecce-462b-4d04-aaf6-779813f561e4,55.24229,-129.18779,13.60289,6.34599,0.55293,-10.58325,-0.2212,4.98541,-5.08389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2/26/2023,04:08.4,1,4,"Robinson, Jack",10032618,Right,ROA_COL,"McGonigle, Tyler",1000016222,Right,ELI_BLU,Undefined,1,Top,0,2,1,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,77.1384,-1.166677,-1.860507,2116.39774,80.521724,8:45,6.1602,0.78594,4.85735,-48.17259,0.3228,-6.42835,1.04075,-1.51146,71.77485,-9.791003,-2.994305,0.501212,,,,,,,,,,,,2.71977,0.83311,-0.59657,50,6.00364,3.89375,-111.96194,-4.0002,3.47725,18.84842,-31.10889,ROA_COL,ELI_BLU,LewisGale,D3,ODAC,20230226-LewisGale-2,5bca6da0-b608-11ed-ae51-29af7b70e984,75.20255,,,5.36355,,,,,,,ac8b7f94-152a-44d2-bf26-4ed625c44743,2/26/2023,04:08.4,2023-02-26T14:04:08.4350000-05:00,2023-02-26T19:04:08.4350000Z,,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,2971b915-075a-4031-be97-b148ee892bff,55.64546,-112.90834,9.42421,6.16528,-2.4382,-15.55445,-0.7877,3.71915,1.73863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2/26/2023,04:37.3,2,1,"Robinson, Jack",10032618,Right,ROA_COL,"Watson, Ben",1000084299,Right,ELI_BLU,Undefined,1,Top,1,0,0,Slider,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,Batter Struck Out.,81.89635,3.127517,-3.850472,2033.735995,247.884872,2:15,3.57671,2.09411,5.59455,-35.14281,6.56855,13.43509,3.57782,-0.3869,75.66182,-3.322244,-1.462838,0.464835,,,,,,,,,,,,-7.65579,2.96784,-1.77224,50,3.8228,7.4485,-118.71278,5.32276,-11.11415,19.03947,-27.86553,ROA_COL,ELI_BLU,LewisGale,D3,ODAC,20230226-LewisGale-2,6cf013a0-b608-11ed-ae51-29af7b70e984,81.08781,,,6.23452,,,,,,,ac8b7f94-152a-44d2-bf26-4ed625c44743,2/26/2023,04:37.3,2023-02-26T14:04:37.2820000-05:00,2023-02-26T19:04:37.2820000Z,,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,a27ec103-c268-4940-a7d9-89c503bef5d0,54.90735,-119.49724,9.51973,3.57984,6.47087,-13.93277,-2.08856,7.90642,-5.55707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2/26/2023,04:51.8,2,2,"Robinson, Jack",10032618,Right,ROA_COL,"Watson, Ben",1000084299,Right,ELI_BLU,Undefined,1,Top,1,1,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,88.4283,-3.191442,-2.134339,1993.390314,237.047141,2:00,6.26503,0.67881,5.41198,-25.18686,11.08052,15.40135,1.17094,-0.0383,81.62094,-7.81018,0.607287,0.433441,101.1349,-13.051577,29.557195,,,,,8.07084,6.7269,23.030866,0.046274,-8.36914,6.74028,-0.50023,50,5.96313,4.11496,-128.23597,-8.05503,-14.02435,24.94517,-20.87921,ROA_COL,ELI_BLU,LewisGale,D3,ODAC,20230226-LewisGale-2,759a3f30-b608-11ed-ae51-29af7b70e984,86.96101,1.55155,,6.80736,,,,1.60553,1.55155,-0.14408,ac8b7f94-152a-44d2-bf26-4ed625c44743,2/26/2023,04:51.8,2023-02-26T14:04:51.8120000-05:00,2023-02-26T19:04:51.8120000Z,GroundBall,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,5ec913a3-886a-4bc5-a909-f8f37ae063b7,55.09043,-129.22239,12.47259,6.26533,-7.22939,-10.43961,-0.67391,4.66954,-7.01218,,1.60463,125.81604,,,,,,,,1.55179,-33.52967,,,,,,,,-0.1446,71.34918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
7,2/26/2023,05:21.8,3,1,"Robinson, Jack",10032618,Right,ROA_COL,"Perilli, Quinten",1000220194,Right,ELI_BLU,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.72703,-3.736404,-2.736088,2089.756386,240.889047,2:00,6.09562,0.44793,5.45203,-26.81356,9.99973,15.97824,0.35422,-0.78399,81.17258,-8.634538,0.109903,0.43669,,,,,,,,,,,,-8.80371,6.33209,-0.21781,50,5.74658,5.39338,-127.1171,-9.26616,-14.51974,24.11377,-21.7307,ROA_COL,ELI_BLU,LewisGale,D3,ODAC,20230226-LewisGale-2,877eef70-b608-11ed-ae51-29af7b70e984,86.31387,,,6.55445,,,,,,,ac8b7f94-152a-44d2-bf26-4ed625c44743,2/26/2023,05:21.8,2023-02-26T14:05:21.8300000-05:00,2023-02-26T19:05:21.8300000Z,,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,7d109308-2319-4541-9e67-be774c695e07,55.05045,-128.07158,12.05689,6.09634,-8.40601,-10.86535,-0.44266,5.9681,-7.25987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2/26/2023,05:45.5,3,2,"Robinson, Jack",10032618,Right,ROA_COL,"Perilli, Quinten",1000220194,Right,ELI_BLU,Undefined,1,Top,1,1,0,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,86.70739,-1.022537,-2.56272,2035.580972,226.964933,1:30,6.05122,0.71511,5.36231,-22.47647,15.1419,15.03603,3.21823,-0.43669,79.90315,-5.189295,0.107242,0.44144,93.31767,35.374349,5.659144,4187.016399,108.99886,75.67592,14.80689,309.15124,308.38726,12.8619,5.62467,-8.24315,8.20851,-0.49608,50,5.94348,4.99045,-125.88834,-3.0154,-13.35072,23.34093,-18.87946,ROA_COL,ELI_BLU,LewisGale,D3,ODAC,20230226-LewisGale-2,959bc240-b608-11ed-ae51-29af7b70e984,85.38523,103.45568,,6.80425,,,,1.19424,3.23456,0.40708,ac8b7f94-152a-44d2-bf26-4ed625c44743,2/26/2023,05:45.5,2023-02-26T14:05:45.5170000-05:00,2023-02-26T19:05:45.5170000Z,FlyBall,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,88de2470-4a3e-4c77-814c-1a20e9f385aa,55.13977,-126.83773,11.67047,6.05052,-2.24749,-9.43973,-0.71011,5.53348,-6.67536,191.476564,1.19814,110.98656,-24.87102,5.75228,-1.13302,0.18967,-0.02634,0.00255,-0.00011,3.23518,79.21457,-17.82963,1.00969,0.01987,-0.07483,0.02271,-0.00295,0.00014,0.40707,11.00535,0.77105,-0.26051,0.06507,-0.01158,0.00122,-6.00E-05,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2/26/2023,06:22.3,4,1,"Robinson, Jack",10032618,Right,ROA_COL,"Bertucio, Robbie",1000084301,Right,ELI_BLU,Undefined,1,Top,2,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.88309,-3.308329,-2.854217,1976.236799,242.663158,2:00,5.97022,0.94736,5.14457,-27.91486,10.5193,17.81773,0.52168,-0.25745,79.34324,-8.413911,0.300858,0.446201,,,,,,,,,,,,-9.75426,6.59103,-0.69448,50,5.63858,5.47487,-125.70129,-8.29673,-15.52395,26.74291,-21.68442,ROA_COL,ELI_BLU,LewisGale,D3,ODAC,20230226-LewisGale-2,ab8b2550-b608-11ed-ae51-29af7b70e984,84.47421,,,7.53985,,,,,,,ac8b7f94-152a-44d2-bf26-4ed625c44743,2/26/2023,06:22.3,2023-02-26T14:06:22.3200000-05:00,2023-02-26T19:06:22.3200000Z,,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,3c64c7f2-a200-4bef-ba15-5318b6fe0759,55.35626,-126.83572,13.37146,5.97101,-7.37689,-10.84221,-0.94069,6.13339,-7.76198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2/26/2023,06:40.8,4,2,"Robinson, Jack",10032618,Right,ROA_COL,"Bertucio, Robbie",1000084301,Right,ELI_BLU,Undefined,1,Top,2,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.41471,-2.448882,-3.636375,2090.101047,202.467103,12:45,6.16764,0.50594,5.49665,-19.49477,19.30792,7.49339,2.24635,-2.27568,78.59675,-6.093916,-2.305318,0.448335,,,,,,,,,,,,-4.71296,10.7365,-0.19263,50,5.9399,7.54738,-123.74481,-5.90628,-7.36132,23.00031,-15.40441,ROA_COL,ELI_BLU,LewisGale,D3,ODAC,20230226-LewisGale-2,b697aae0-b608-11ed-ae51-29af7b70e984,84.07209,,,6.81796,,,,,,,ac8b7f94-152a-44d2-bf26-4ed625c44743,2/26/2023,06:40.8,2023-02-26T14:06:40.8110000-05:00,2023-02-26T19:06:40.8110000Z,,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,5727016c-b060-42d3-bfc3-9ae034295c02,55.0032,-124.67128,11.50015,6.16531,-5.28578,-7.70221,-0.50262,7.8439,-3.68066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
