PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,,,1,1,"Turner, Will",1000084163,Right,ROA_COL,"Lane, Cameron",1000231670,Left,UNI_LYN,Undefined,1,Top,0,0,0,Other,,InPlay,Undefined,GroundBall,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROA_COL,UNI_LYN,LewisGale,D3,ODAC,20230318-LewisGale-1,1c9a9850-c5a6-11ed-95b5-b9822d3c8bdc,,,,,,,,,,,590072bd-1439-433a-b013-5068195713f5,,,,,,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3/18/2023,01:53.8,2,1,"Turner, Will",1000084163,Right,ROA_COL,"Gjormand, Josh",1000230594,Left,UNI_LYN,Undefined,1,Top,1,0,0,Slider,Curveball,InPlay,Undefined,Popup,Out,1,0,,72.08929,0.790186,-1.822779,2287.967289,134.277654,10:30,5.09783,3.37742,5.36711,-42.134,12.5982,-11.21591,2.32803,0.73303,66.39472,-6.93983,-3.81362,0.532467,,,,,,,,,,,,5.1902,6.5928,-3.20536,50,5.13892,3.72706,-104.6314,0.19042,5.76508,17.32678,-24.85099,ROA_COL,UNI_LYN,LewisGale,D3,ODAC,20230318-LewisGale-1,33dd2f50-c5a6-11ed-95b5-b9822d3c8bdc,70.78828,,,5.69456,,,,,,,590072bd-1439-433a-b013-5068195713f5,3/18/2023,01:53.8,2023-03-18T12:01:53.7500000-04:00,2023-03-18T16:01:53.7500000Z,,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,c091319e-e624-460a-83ff-a4c93ebc19a7,55.13379,-105.47813,8.66339,5.09994,1.40483,-12.4255,-3.38061,3.44533,2.88254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,3/18/2023,02:27.4,3,1,"Turner, Will",1000084163,Right,ROA_COL,"Neaves, Avery",1000230607,Right,UNI_LYN,Undefined,1,Top,2,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.71589,-2.040155,-5.995148,1976.634378,256.505646,2:30,5.13817,3.13709,6.16101,-34.82431,6.29055,20.22418,0.34025,-0.73626,75.30178,-8.505311,-2.36812,0.461499,,,,,,,,,,,,-12.29335,4.28299,-2.69082,50,4.96468,11.78663,-119.48281,-5.34419,-17.62648,24.77392,-26.03302,ROA_COL,UNI_LYN,LewisGale,D3,ODAC,20230318-LewisGale-1,47dbe5f0-c5a6-11ed-95b5-b9822d3c8bdc,81.67394,,,7.4141,,,,,,,590072bd-1439-433a-b013-5068195713f5,3/18/2023,02:27.4,2023-03-18T12:02:27.3650000-04:00,2023-03-18T16:02:27.3650000Z,,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,05fccedc-d9b8-4c47-8dc9-868e9ff5b54a,54.34044,-120.37941,12.38696,5.14104,-4.40202,-13.01651,-3.12893,12.42455,-8.81324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,3/18/2023,02:38.5,3,2,"Turner, Will",1000084163,Right,ROA_COL,"Neaves, Avery",1000230607,Right,UNI_LYN,Undefined,1,Top,2,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.4063,-1.507953,-4.655816,2091.157184,251.944473,2:30,5.09114,3.18532,6.19103,-33.77085,8.18918,20.88883,0.87969,0.6179,74.5131,-7.793052,-0.89564,0.466218,,,,,,,,,,,,-12.14914,5.08138,-2.84407,50,4.96006,8.83423,-117.94558,-4.11874,-17.07618,22.89409,-25.03192,ROA_COL,UNI_LYN,LewisGale,D3,ODAC,20230318-LewisGale-1,4e7f6c10-c5a6-11ed-95b5-b9822d3c8bdc,80.84719,,,6.8932,,,,,,,590072bd-1439-433a-b013-5068195713f5,3/18/2023,02:38.5,2023-03-18T12:02:38.5080000-04:00,2023-03-18T16:02:38.5080000Z,,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,2f9fe9f7-b04c-4676-8578-ab3c594adeb2,54.31077,-118.77938,11.44704,5.09347,-3.20708,-12.51596,-3.17713,9.45614,-8.53809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,3/18/2023,02:50.0,3,3,"Turner, Will",1000084163,Right,ROA_COL,"Neaves, Avery",1000230607,Right,UNI_LYN,Undefined,1,Top,2,2,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,71.41381,0.83801,-1.641168,2257.765315,138.665155,10:30,5.14645,3.3748,5.29086,-39.9488,15.82717,-12.47083,2.60465,0.79408,65.89924,-6.495748,-3.8512,0.537521,,,,,,,,,,,,5.81303,8.21993,-3.21589,50,5.19387,3.42154,-103.65019,0.33686,6.36046,16.38567,-23.18003,ROA_COL,UNI_LYN,LewisGale,D3,ODAC,20230318-LewisGale-1,55697110-c5a6-11ed-95b5-b9822d3c8bdc,70.12279,,,5.51457,,,,,,,590072bd-1439-433a-b013-5068195713f5,3/18/2023,02:50.0,2023-03-18T12:02:50.0030000-04:00,2023-03-18T16:02:50.0030000Z,,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,f5f19cc9-2db6-443a-9a6d-a71c9a8811f9,55.20825,-104.4703,8.19283,5.14798,1.49703,-11.59001,-3.37917,3.1032,3.18023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,3/18/2023,03:01.4,3,4,"Turner, Will",1000084163,Right,ROA_COL,"Neaves, Avery",1000230607,Right,UNI_LYN,Undefined,1,Top,2,2,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,71.82914,-0.115861,-2.929731,2233.054067,129.540385,10:15,5.10222,3.11145,5.37365,-40.69817,14.27205,-15.36942,1.60194,-0.91852,66.63162,-7.548165,-5.652642,0.533624,,,,,,,,,,,,6.98662,7.7026,-2.8374,50,5.06312,5.88106,-104.21812,-1.41463,7.73585,16.41076,-23.64547,ROA_COL,UNI_LYN,LewisGale,D3,ODAC,20230318-LewisGale-1,5c391040-c5a6-11ed-95b5-b9822d3c8bdc,70.63486,,,5.19752,,,,,,,590072bd-1439-433a-b013-5068195713f5,3/18/2023,03:01.4,2023-03-18T12:03:01.4190000-04:00,2023-03-18T16:03:01.4190000Z,,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,b5068b8c-229c-45e0-954b-daa3d4a7139b,55.12673,-105.02231,8.20538,5.10405,-0.25592,-11.82273,-3.1163,5.50198,3.86792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,3/18/2023,03:15.3,3,5,"Turner, Will",1000084163,Right,ROA_COL,"Neaves, Avery",1000230607,Right,UNI_LYN,Undefined,1,Top,2,2,2,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,72.62108,0.658749,-1.967541,2346.363298,111.18295,9:45,5.20041,3.27496,5.28316,-45.11144,9.15552,-19.32505,2.06017,-0.18397,66.88641,-7.573422,-5.390814,0.530199,71.7312,-4.486269,-21.554047,,,,,25.44219,13.90458,-17.737358,0.21561,9.24989,4.84614,-3.08032,50,5.22743,4.31081,-105.38732,-0.16931,10.38384,18.21554,-26.73382,ROA_COL,UNI_LYN,LewisGale,D3,ODAC,20230318-LewisGale-1,6476be60-c5a6-11ed-95b5-b9822d3c8bdc,71.09109,2.32661,,5.73467,,,,3.87311,2.32661,0.01944,590072bd-1439-433a-b013-5068195713f5,3/18/2023,03:15.3,2023-03-18T12:03:15.2790000-04:00,2023-03-18T16:03:15.2790000Z,GroundBall,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,63523457-0506-4de5-b9e8-ee9e467aa75a,55.21924,-106.2856,9.10777,5.20327,1.14905,-13.36691,-3.28028,3.79874,5.19192,246.181961,3.87444,97.46748,-14.1521,,,,,,,2.32691,-8.24749,-11.81198,,,,,,,0.01806,-38.44701,11.22326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
8,3/18/2023,06:16.7,1,1,"Potts, Zack",1000230602,Right,UNI_LYN,"Bonzon, Jacob",1000119702,Right,ROA_COL,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.41345,-1.827104,-5.568184,2114.731296,207.448848,1:00,5.82657,3.08818,5.08129,-16.76745,21.50182,10.47741,2.69821,-1.30418,79.23081,-4.997381,-3.730542,0.445242,,,,,,,,,,,,-6.79315,11.56469,-2.56766,50,5.64016,11.80568,-126.08788,-4.56063,-10.88431,26.76893,-13.64462,ROA_COL,UNI_LYN,LewisGale,D3,ODAC,20230318-LewisGale-1,d086c690-c5a6-11ed-95b5-b9822d3c8bdc,84.65602,,,8.18264,,,,,,,590072bd-1439-433a-b013-5068195713f5,3/18/2023,06:16.6,2023-03-18T12:06:16.6560000-04:00,2023-03-18T16:06:16.6560000Z,,v3,,,,"Fiedler, Holden",1000230592,Right,UNI_LYN,1c0889f2-52aa-4509-b7d5-365bd2c53bcc,55.41615,-127.23255,13.38447,5.82271,-3.97717,-6.82231,-3.08244,12.2711,-5.44216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,3/18/2023,06:28.3,1,2,"Potts, Zack",1000230602,Right,UNI_LYN,"Bonzon, Jacob",1000119702,Right,ROA_COL,Undefined,1,Bottom,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.16765,-1.142128,-6.674455,2098.072767,219.835614,1:15,5.85685,2.93887,5.15011,-19.55533,18.13989,14.02217,3.14449,-2.2049,79.70204,-4.808152,-4.219767,0.44189,,,,,,,,,,,,-8.90941,9.72666,-2.32303,50,5.73488,14.20399,-126.95928,-3.19544,-14.45177,27.49519,-16.39664,ROA_COL,UNI_LYN,LewisGale,D3,ODAC,20230318-LewisGale-1,d76fba20-c5a6-11ed-95b5-b9822d3c8bdc,85.29817,,,8.46561,,,,,,,590072bd-1439-433a-b013-5068195713f5,3/18/2023,06:28.3,2023-03-18T12:06:28.2710000-04:00,2023-03-18T16:06:28.2710000Z,,v3,,,,"Fiedler, Holden",1000230592,Right,UNI_LYN,ed3457a4-bb51-4e11-9872-e5f92bd3fc2c,55.34767,-128.11217,13.7476,5.85446,-2.50792,-8.19832,-2.93132,14.80997,-7.22588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,3/18/2023,06:40.8,1,3,"Potts, Zack",1000230602,Right,UNI_LYN,"Bonzon, Jacob",1000119702,Right,ROA_COL,Undefined,1,Bottom,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.28263,-3.33883,-5.023779,2191.751085,199.282161,12:45,5.90749,2.7626,5.16737,-15.35481,22.82808,7.52902,1.46988,-1.35029,79.46801,-6.24737,-3.699385,0.44474,,,,,,,,,,,,-5.14386,12.66477,-2.29899,50,5.58355,10.72161,-125.90652,-7.82418,-8.24178,26.00463,-11.88186,ROA_COL,UNI_LYN,LewisGale,D3,ODAC,20230318-LewisGale-1,def032c0-c5a6-11ed-95b5-b9822d3c8bdc,84.75168,,,7.81462,,,,,,,590072bd-1439-433a-b013-5068195713f5,3/18/2023,06:40.8,2023-03-18T12:06:40.8210000-04:00,2023-03-18T16:06:40.8210000Z,,v3,,,,"Fiedler, Holden",1000230592,Right,UNI_LYN,4cba78de-16ac-4197-b8eb-0df889ad277b,55.32989,-127.00258,13.00231,5.90277,-7.32338,-5.94093,-2.75821,11.06899,-4.12089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
