PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,3/21/2023,01:32.1,1,1,"Parks, Evan",1000084142,Right,ROA_COL,"Lackey, Corey",1000127129,Right,PFE_UNI,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.58068,-0.450056,-4.2117,2055.480327,244.612637,2:15,5.3989,1.79255,4.4019,-33.52203,11.11481,20.30989,2.17465,-0.54235,74.44148,-6.51951,-0.675365,0.480859,,,,,,,,,,,,-10.95201,5.9487,-1.36414,50,5.31845,7.74624,-117.94621,-2.21384,-15.42896,22.41555,-23.79365,ROA_COL,PFE_UNI,LewisGale,D3,ODAC,20230321-LewisGale-1,2d3211a0-c823-11ed-926a-8b4d2147cdd8,78.3856,,,7.1392,,,,,,,3e0e93ba-59df-4ca3-8cdd-9d4473357b35,3/21/2023,01:32.1,2023-03-21T16:01:32.1149358-04:00,2023-03-21T20:01:32.1149358Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,f3acb246-61ba-4135-b70c-16dfd3ef5d58,56.09766,-119.09943,11.20778,5.40086,-0.98972,-11.89683,-1.78308,8.54001,-7.71448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,3/21/2023,01:44.3,1,2,"Parks, Evan",1000084142,Right,ROA_COL,"Lackey, Corey",1000127129,Right,PFE_UNI,Undefined,1,Top,0,0,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.09856,-0.277381,-4.296499,2083.74394,245.16384,2:15,5.36397,1.60758,4.35208,-31.5684,11.89564,22.34812,2.46751,-0.6426,75.12411,-6.02156,-0.409428,0.4745,,,,,,,,,,,,-12.03512,6.27835,-1.16897,50,5.30343,7.95194,-120.00109,-1.80582,-17.40124,25.05148,-23.09637,ROA_COL,PFE_UNI,LewisGale,D3,ODAC,20230321-LewisGale-1,346c0b60-c823-11ed-926a-8b4d2147cdd8,79.43609,,,7.97445,,,,,,,3e0e93ba-59df-4ca3-8cdd-9d4473357b35,3/21/2023,01:44.3,2023-03-21T16:01:44.2630574-04:00,2023-03-21T20:01:44.2630574Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,71726e4b-696d-416c-a2fa-93c0b1843bde,56.14655,-121.27746,12.52574,5.36546,-0.62906,-11.54819,-1.59671,8.83853,-8.70062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,3/21/2023,01:56.5,1,3,"Parks, Evan",1000084142,Right,ROA_COL,"Lackey, Corey",1000127129,Right,PFE_UNI,Undefined,1,Top,0,0,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.29397,-0.886225,-5.463133,2075.881202,244.600332,2:15,5.42612,1.78331,4.32515,-31.08616,12.31264,22.65769,1.98457,-1.56639,75.37051,-6.533138,-1.534136,0.474144,,,,,,,,,,,,-12.49241,6.65441,-1.21639,50,5.29962,10.40043,-120.07827,-3.07408,-18.11469,24.73826,-22.52478,ROA_COL,PFE_UNI,LewisGale,D3,ODAC,20230321-LewisGale-1,3bb74330-c823-11ed-926a-8b4d2147cdd8,79.49574,,,7.92346,,,,,,,3e0e93ba-59df-4ca3-8cdd-9d4473357b35,3/21/2023,01:56.5,2023-03-21T16:01:56.4983214-04:00,2023-03-21T20:01:56.4983214Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,709b7d30-e456-4188-bd39-87565ce64522,56.17362,-121.34348,12.36913,5.42738,-1.92208,-11.26239,-1.77199,11.32689,-9.05734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,3/21/2023,02:08.7,1,4,"Parks, Evan",1000084142,Right,ROA_COL,"Lackey, Corey",1000127129,Right,PFE_UNI,Undefined,1,Top,0,1,2,ChangeUp,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,73.66301,0.583169,-2.702558,1840.380914,229.69181,1:45,5.42447,1.69792,4.38111,-40.34128,14.84717,15.1791,2.6202,0.38032,66.7022,-6.756705,-0.056025,0.534682,77.70587,15.701517,-46.924713,2676.250849,69.0682,15.36357,-85.61286,172.72118,172.72118,-54.748635,1.956982,-8.25103,7.54166,-1.42507,50,5.44803,4.40841,-106.52257,-0.291,-9.37604,20.18033,-23.60412,ROA_COL,PFE_UNI,LewisGale,D3,ODAC,20230321-LewisGale-1,43123270-c823-11ed-926a-8b4d2147cdd8,70.49507,16.17067,,6.9608,,,,3.55944,2.79405,-0.2774,3e0e93ba-59df-4ca3-8cdd-9d4473357b35,3/21/2023,02:08.7,2023-03-21T16:02:08.7362478-04:00,2023-03-21T20:02:08.7362478Z,LineDrive,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,b1ad9edb-b613-4c75-941e-5a5e12b86b41,56.118,-107.67536,10.09016,5.42614,1.05738,-11.80206,-1.69219,4.94402,-4.68802,106.094484,3.55945,74.93117,-18.92148,4.38517,-1.01576,0.18444,-0.02902,0.0033,-0.00018,2.79405,30.84282,-19.10746,1.72262,-0.26621,0.04197,-0.0037,0.00029,-5.00E-05,-0.2774,-80.14255,3.70554,0.73535,-0.43863,0.14788,-0.03546,0.00581,-0.00044,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,3/21/2023,02:26.1,1,5,"Parks, Evan",1000084142,Right,ROA_COL,"Lackey, Corey",1000127129,Right,PFE_UNI,Undefined,1,Top,0,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,74.44551,-1.937531,-5.54364,1887.40544,245.777648,2:15,5.36965,1.72224,4.53404,-41.73459,11.11182,21.24505,0.03746,-1.80257,69.24607,-9.401739,-1.841828,0.523214,,,,,,,,,,,,-11.78764,6.31217,-1.16409,50,5.1271,9.59983,-107.5968,-5.11044,-14.0133,16.20496,-24.67008,ROA_COL,PFE_UNI,LewisGale,D3,ODAC,20230321-LewisGale-1,4d7139f0-c823-11ed-926a-8b4d2147cdd8,72.04022,,,5.19944,,,,,,,3e0e93ba-59df-4ca3-8cdd-9d4473357b35,3/21/2023,02:26.1,2023-03-21T16:02:26.1442990-04:00,2023-03-21T20:02:26.1442990Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,b66476c0-53ab-4564-817e-0c573f726b1a,55.96955,-108.49214,8.10248,5.3718,-3.74739,-12.33504,-1.71588,10.37408,-7.00665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,3/21/2023,02:39.1,1,6,"Parks, Evan",1000084142,Right,ROA_COL,"Lackey, Corey",1000127129,Right,PFE_UNI,Undefined,1,Top,0,2,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.48123,0.927213,-4.022506,2109.188989,227.402298,1:30,5.30985,1.78071,4.32698,-27.69135,15.2278,15.32906,3.89076,-0.793,76.49979,-4.077651,-1.359721,0.471517,,,,,,,,,,,,-8.28213,7.51024,-1.36247,50,5.38274,7.69801,-119.5326,0.87538,-12.23608,18.47157,-21.07833,ROA_COL,PFE_UNI,LewisGale,D3,ODAC,20230321-LewisGale-1,551937c0-c823-11ed-926a-8b4d2147cdd8,79.93872,,,5.98144,,,,,,,3e0e93ba-59df-4ca3-8cdd-9d4473357b35,3/21/2023,02:39.1,2023-03-21T16:02:39.0640000-04:00,2023-03-21T20:02:39.0640000Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,8f920f6a-7de5-4a65-8f2f-4f6569791536,56.17456,-120.48299,9.23578,5.3098,1.95989,-10.53916,-1.77474,8.32757,-6.11804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,3/21/2023,02:50.7,1,7,"Parks, Evan",1000084142,Right,ROA_COL,"Lackey, Corey",1000127129,Right,PFE_UNI,Undefined,1,Top,0,3,2,Fastball,Changeup,InPlay,Undefined,Popup,Out,1,0,,82.00879,-0.527256,-2.698046,2065.25278,216.713795,1:15,5.49938,1.72032,4.47124,-26.11277,16.91682,11.77694,2.82011,0.12777,76.35154,-5.260286,-0.641858,0.472123,66.11449,31.115458,1.786831,3958.08889,109.20484,47.24328,13.20131,194.3717,190.74072,11.935664,3.777981,-6.375,8.70835,-1.44805,50,5.41908,5.09215,-119.06251,-2.07069,-9.34567,18.30017,-19.40773,ROA_COL,PFE_UNI,LewisGale,D3,ODAC,20230321-LewisGale-1,5c4500b0-c823-11ed-926a-8b4d2147cdd8,79.83608,47.33566,,5.65725,,,,1.66659,2.88301,-0.13657,3e0e93ba-59df-4ca3-8cdd-9d4473357b35,3/21/2023,02:50.6,2023-03-21T16:02:50.6541486-04:00,2023-03-21T20:02:50.6541486Z,FlyBall,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,a42642f3-0d0e-49c1-b010-908d6aca745c,56.03157,-119.98599,9.15009,5.49887,-1.09131,-9.70386,-1.71691,5.56376,-4.67283,202.188483,1.66604,82.99329,-17.17256,4.15204,-1.0404,0.30145,-0.07522,0.01132,-0.00071,2.88391,50.08155,-14.62133,-0.00822,0.43665,-0.25669,0.07688,-0.01139,0.00066,-0.13644,2.58438,4.22909,-1.03542,0.26187,-0.07588,0.01882,-0.00282,0.00018,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,3/21/2023,03:23.4,2,1,"Parks, Evan",1000084142,Right,ROA_COL,"Ferrell, Zach",1000103691,Left,PFE_UNI,Undefined,1,Top,1,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.637,0.19208,-1.766266,2094.026672,229.513088,1:45,5.32183,1.87123,4.41741,-26.34383,16.84107,18.13379,3.3099,1.6964,75.53884,-4.628665,1.39942,0.472974,,,,,,,,,,,,-9.19445,8.50536,-1.70214,50,5.31739,2.84025,-119.75569,-0.57284,-13.39173,22.48834,-19.78603,ROA_COL,PFE_UNI,LewisGale,D3,ODAC,20230321-LewisGale-1,6f860ca0-c823-11ed-926a-8b4d2147cdd8,79.69241,,,7.09816,,,,,,,3e0e93ba-59df-4ca3-8cdd-9d4473357b35,3/21/2023,03:23.4,2023-03-21T16:03:23.3994158-04:00,2023-03-21T20:03:23.3994158Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,8fda717c-e7fa-4c52-80f8-6696efbd3e39,56.08109,-120.89223,11.24417,5.32107,0.42713,-9.89302,-1.86278,3.51705,-6.69586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,3/21/2023,03:34.1,2,2,"Parks, Evan",1000084142,Right,ROA_COL,"Ferrell, Zach",1000103691,Left,PFE_UNI,Undefined,1,Top,1,1,0,Fastball,Changeup,InPlay,Undefined,LineDrive,Double,0,0,,82.29881,-0.108094,-1.820136,2089.15645,226.644585,1:30,5.35823,1.91735,4.40441,-27.26238,16.2108,15.7443,2.98314,1.49152,75.428,-5.080566,0.928024,0.47455,91.10531,26.815122,-25.904457,4269.286688,92.65678,50.60661,-59.28401,290.04365,259.23122,-42.797736,4.355465,-8.12965,8.28642,-1.73998,50,5.32075,3.07089,-119.30737,-1.24259,-11.77149,21.96887,-20.17553,ROA_COL,PFE_UNI,LewisGale,D3,ODAC,20230321-LewisGale-1,75ee1060-c823-11ed-926a-8b4d2147cdd8,79.42774,61.29892,,6.87081,,,,0.30444,2.93373,-1.51814,3e0e93ba-59df-4ca3-8cdd-9d4473357b35,3/21/2023,03:34.1,2023-03-21T16:03:34.1369262-04:00,2023-03-21T20:03:34.1369262Z,FlyBall,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,d3c71083-d95a-40ad-bb7b-a43fd8062672,56.09582,-120.4246,10.98444,5.35785,-0.21656,-10.08777,-1.91137,3.66953,-5.88574,137.56174,0.30412,107.28142,-29.75107,8.01464,-2.05534,0.50711,-0.10809,0.015,-0.0009,2.93491,60.24618,-16.31466,-0.23656,0.71272,-0.33734,0.09175,-0.01285,0.00071,-1.51802,-52.10333,-0.4372,1.8986,-0.75157,0.17922,-0.02594,0.00175,-2.00E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
10,3/21/2023,04:23.3,3,1,"Parks, Evan",1000084142,Right,ROA_COL,"Brown, Jake",1000088184,Left,PFE_UNI,Undefined,1,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,68.72254,3.663698,-1.946115,2396.434397,63.247868,8:00,5.47794,1.48205,4.11133,-67.52669,-4.3237,-12.26209,3.37318,-1.40798,63.42341,-8.31958,-4.071283,0.57219,,,,,,,,,,,,5.35225,-2.45815,-1.25058,50,5.81478,3.86501,-99.44435,3.99362,5.38768,15.16634,-34.64846,ROA_COL,PFE_UNI,LewisGale,D3,ODAC,20230321-LewisGale-1,9348dd70-c823-11ed-926a-8b4d2147cdd8,65.87399,,,5.29913,,,,,,,3e0e93ba-59df-4ca3-8cdd-9d4473357b35,3/21/2023,04:23.3,2023-03-21T16:04:23.3156526-04:00,2023-03-21T20:04:23.3156526Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,a41e3521-b871-405f-a2cb-4682dcf47618,56.39174,-100.41443,7.58317,5.48846,6.20983,-17.32423,-1.48677,3.5204,2.69384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
