PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,3/25/2023,30:55.6,1,1,"Turner, Will",1000084163,Right,ROA_COL,"Harris, Grayson",1000229616,Right,HAM_COL,Undefined,1,Top,0,0,0,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,80.42354,-0.166565,-4.020676,1911.253366,241.585979,2:00,5.27843,3.31249,5.74541,-33.95525,9.64544,15.23111,2.29336,0.83208,73.55329,-6.454738,-1.301944,0.475246,70.27258,-36.782034,-87.059568,,,,,5.0579,3.21261,-52.235304,0.039901,-8.92886,5.36055,-2.98741,50,5.24373,7.61171,-116.56955,-1.40387,-12.27513,22.09064,-24.8045,ROA_COL,HAM_COL,LewisGale,D3,ODAC,20230325-LewisGale-1,6a6bfb80-cb2a-11ed-926a-8b4d2147cdd8,79.31149,2.47124,,6.87024,,,,2.92799,2.47124,-0.69725,e65dbd9a-41df-4b16-b7b2-11227e27856a,3/25/2023,30:55.6,2023-03-25T12:30:55.6449922-04:00,2023-03-25T16:30:55.6449922Z,GroundBall,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,88705d1f-536c-4968-98b8-6a09c6f05931,54.75595,-117.46738,11.04532,5.2803,-0.39575,-12.40225,-3.30691,8.1106,-6.13757,,2.9279,4.24969,,,,,,,,2.47266,-61.93449,,,,,,,,-0.69536,-82.73461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
2,3/25/2023,31:09.9,1,2,"Turner, Will",1000084163,Right,ROA_COL,"Harris, Grayson",1000229616,Right,HAM_COL,Undefined,1,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,69.77467,3.094994,-1.738337,2108.333924,121.123821,10:00,5.17587,3.40402,5.37491,-48.05672,10.68776,-14.70387,4.07696,0.54844,63.86412,-5.738118,-4.34429,0.551639,,,,,,,,,,,,6.84469,5.07221,-3.23766,50,5.41991,3.59477,-101.08063,4.0661,7.07882,16.5352,-26.92833,ROA_COL,HAM_COL,LewisGale,D3,ODAC,20230325-LewisGale-1,72f2c090-cb2a-11ed-926a-8b4d2147cdd8,68.32811,,,5.91055,,,,,,,e65dbd9a-41df-4b16-b7b2-11227e27856a,3/25/2023,31:09.9,2023-03-25T12:31:09.8866306-04:00,2023-03-25T16:31:09.8866306Z,,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,3d79d29c-72ff-4051-8007-14b3b4ab39b8,55.12337,-101.91529,8.2676,5.18036,5.42537,-13.46416,-3.4101,3.23745,3.53941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,3/25/2023,31:21.7,1,3,"Turner, Will",1000084163,Right,ROA_COL,"Harris, Grayson",1000229616,Right,HAM_COL,Undefined,1,Top,0,1,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,69.83964,1.704025,-1.606606,2072.366357,114.008574,9:45,5.13955,3.35505,5.39766,-51.1683,6.95339,-11.7789,2.47353,0.86747,64.5455,-7.639197,-3.698962,0.548707,,,,,,,,,,,,5.51768,3.55142,-3.20307,50,5.25563,3.25179,-101.38189,1.50729,5.7703,15.82862,-28.46001,ROA_COL,HAM_COL,LewisGale,D3,ODAC,20230325-LewisGale-1,7a05aa50-cb2a-11ed-926a-8b4d2147cdd8,68.69319,,,5.29414,,,,,,,e65dbd9a-41df-4b16-b7b2-11227e27856a,3/25/2023,31:21.7,2023-03-25T12:31:21.6984706-04:00,2023-03-25T16:31:21.6984706Z,,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,069b58f5-75d0-4123-b9a6-fba1046e71af,55.10346,-102.17558,7.91431,5.14427,2.93435,-14.23,-3.35887,2.96245,2.88515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,3/25/2023,31:34.5,1,4,"Turner, Will",1000084163,Right,ROA_COL,"Harris, Grayson",1000229616,Right,HAM_COL,Undefined,1,Top,0,1,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,71.54636,1.317087,-0.081917,2133.416428,103.143623,9:30,5.15044,3.27227,5.2273,-50.12392,5.82532,-17.50229,2.21187,1.73673,65.80313,-7.820596,-3.185813,0.538355,,,,,,,,,,,,8.7256,3.06351,-3.25105,50,5.23445,0.78948,-103.85012,0.82832,9.52468,17.46504,-28.82997,ROA_COL,HAM_COL,LewisGale,D3,ODAC,20230325-LewisGale-1,81a9b080-cb2a-11ed-926a-8b4d2147cdd8,70.01413,,,5.74324,,,,,,,e65dbd9a-41df-4b16-b7b2-11227e27856a,3/25/2023,31:34.5,2023-03-25T12:31:34.5084034-04:00,2023-03-25T16:31:34.5084034Z,,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,2dba7371-eddc-408b-884e-a5e5fc25b1c9,55.27374,-104.73328,8.73252,5.1557,2.28617,-14.41499,-3.2788,0.30784,4.76234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,3/25/2023,31:48.6,1,5,"Turner, Will",1000084163,Right,ROA_COL,"Harris, Grayson",1000229616,Right,HAM_COL,Undefined,1,Top,0,2,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,71.29743,1.250056,-0.20499,2215.766822,101.594953,9:30,5.0788,3.29848,5.2563,-51.01767,5.17394,-16.84442,2.00208,1.70218,65.7093,-8.043085,-3.194088,0.53952,,,,,,,,,,,,8.3839,2.75386,-3.26666,50,5.15564,0.98035,-103.51621,0.68051,9.10635,17.11515,-29.1829,ROA_COL,HAM_COL,LewisGale,D3,ODAC,20230325-LewisGale-1,8a0790d0-cb2a-11ed-926a-8b4d2147cdd8,69.86296,,,5.58814,,,,,,,e65dbd9a-41df-4b16-b7b2-11227e27856a,3/25/2023,31:48.6,2023-03-25T12:31:48.5548162-04:00,2023-03-25T16:31:48.5548162Z,,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,c2633652-bb0f-413d-b385-ad914b02067d,55.24516,-104.37983,8.55758,5.08415,2.15306,-14.59145,-3.30453,0.52085,4.55318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,3/25/2023,32:02.8,1,6,"Turner, Will",1000084163,Right,ROA_COL,"Harris, Grayson",1000229616,Right,HAM_COL,Undefined,1,Top,0,3,2,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,79.77145,1.003826,-2.979446,1813.031388,231.059458,1:45,5.31625,3.15504,5.88339,-36.25758,7.32111,7.52233,3.22836,1.01252,73.64853,-5.695982,-1.632108,0.475126,,,,,,,,,,,,-4.62032,3.86315,-2.9188,50,5.37621,5.75272,-115.86225,0.91141,-6.34035,19.7153,-26.87272,ROA_COL,HAM_COL,LewisGale,D3,ODAC,20230325-LewisGale-1,92838070-cb2a-11ed-926a-8b4d2147cdd8,79.33154,,,6.12292,,,,,,,e65dbd9a-41df-4b16-b7b2-11227e27856a,3/25/2023,32:02.8,2023-03-25T12:32:02.8320386-04:00,2023-03-25T16:32:02.8320386Z,,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,117d8b2a-2c6a-47d0-b53e-6c25e096618f,54.61856,-116.6455,9.85765,5.31879,1.97901,-13.43636,-3.15235,6.00461,-3.17018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,3/25/2023,32:19.4,1,7,"Turner, Will",1000084163,Right,ROA_COL,"Harris, Grayson",1000229616,Right,HAM_COL,Undefined,1,Top,0,3,2,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,81.1429,0.973896,-3.7795,1785.712503,240.12939,2:00,5.1299,3.18052,6.02321,-34.43703,7.59095,11.07725,3.16424,0.5979,74.70729,-5.413828,-1.792522,0.466596,57.29188,-5.188344,22.934074,3404.112496,,,,23.04808,23.02873,21.49467,0.270321,-6.69855,4.01843,-2.89038,50,5.18737,7.37042,-117.76817,0.95278,-9.47898,20.77453,-26.48762,ROA_COL,HAM_COL,LewisGale,D3,ODAC,20230325-LewisGale-1,9c578600-cb2a-11ed-926a-8b4d2147cdd8,80.78183,3.17173,,6.43562,,,,1.34571,3.17173,-0.57818,e65dbd9a-41df-4b16-b7b2-11227e27856a,3/25/2023,32:19.4,2023-03-25T12:32:19.3639042-04:00,2023-03-25T16:32:19.3639042Z,GroundBall,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,d13513c7-be45-4a6d-bf55-103be7899ec4,54.47881,-118.55561,10.38727,5.13223,1.95677,-13.24381,-3.17656,7.72971,-4.73949,273.92022,1.34652,77.02902,-9.91816,,,,,,,3.17261,-7.64162,-15.15986,,,,,,,-0.57887,32.64327,2.74424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,3/25/2023,32:52.7,2,1,"Turner, Will",1000084163,Right,ROA_COL,"Masterson, Jaxon",1000076001,Right,HAM_COL,Undefined,1,Top,1,0,0,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,81.22088,-0.615429,-4.504882,1786.872631,238.899663,2:00,5.12142,3.12211,6.0991,-32.13628,9.84504,14.20127,1.8724,0.13041,74.73298,-6.590412,-1.955604,0.466337,77.82529,56.742164,42.627727,,63.08817,112.55879,90.11024,196.17263,167.46797,59.197413,5.350758,-8.56237,5.62071,-2.78234,50,5.05682,8.76104,-117.77817,-2.22566,-12.0892,21.2886,-24.23819,ROA_COL,HAM_COL,LewisGale,D3,ODAC,20230325-LewisGale-1,b035bc50-cb2a-11ed-926a-8b4d2147cdd8,80.82666,112.55954,,6.4879,,,,1.87867,1.90177,-0.14323,e65dbd9a-41df-4b16-b7b2-11227e27856a,3/25/2023,32:52.7,2023-03-25T12:32:52.7456386-04:00,2023-03-25T16:32:52.7456386Z,Popup,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,5947d360-2248-438e-b271-590a68894abb,54.403,-118.57135,10.6443,5.12293,-1.32258,-12.11909,-3.11715,9.21146,-6.0446,205.520704,1.89011,45.75176,-14.81692,2.24695,1.3544,-0.99341,0.27526,-0.03562,0.00177,1.87745,95.89312,-26.46747,4.78208,-1.97147,0.61192,-0.1088,0.00978,-0.00034,-0.15227,42.56523,-3.71067,1.03299,-0.62502,0.26263,-0.05958,0.00679,-0.00031,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,3/25/2023,33:25.5,2,2,"Turner, Will",1000084163,Right,ROA_COL,"Masterson, Jaxon",1000076001,Right,HAM_COL,Undefined,1,Top,1,0,1,Fastball,Changeup,InPlay,Undefined,FlyBall,Single,0,0,,81.01321,0.715548,-4.252478,1878.215,256.003512,2:30,5.0881,3.13158,5.90884,-37.1286,5.6326,17.04777,2.6601,0.59775,73.95818,-6.16248,-1.20143,0.470648,75.8069,25.809665,-2.025481,2530.474455,109.9125,39.71501,4.384,250.83507,250.83507,8.421186,3.510419,-9.98276,3.06831,-2.79961,50,5.12436,8.0859,-117.41778,0.30434,-13.90843,22.65266,-27.89915,ROA_COL,HAM_COL,LewisGale,D3,ODAC,20230325-LewisGale-1,c3ba8800-cb2a-11ed-926a-8b4d2147cdd8,80.08624,41.85295,,7.05504,,,,1.64396,2.68536,-0.59771,e65dbd9a-41df-4b16-b7b2-11227e27856a,3/25/2023,33:25.5,2023-03-25T12:33:25.4900866-04:00,2023-03-25T16:33:25.4900866Z,LineDrive,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,6bf289c2-c2dc-491d-aa49-6b60291c124d,54.59306,-118.30057,11.32633,5.09132,1.39159,-13.94957,-3.12528,8.62792,-6.95421,225.059771,1.64361,100.04154,-14.90472,3.23281,-0.76251,0.20641,-0.05039,0.00763,-0.00048,2.68573,48.39367,-15.93604,0.61349,0.05643,-0.06908,0.02312,-0.00311,0.00011,-0.59756,-3.54422,7.82515,-2.02158,0.4962,-0.11753,0.02452,-0.00347,0.00022,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,3/25/2023,34:00.5,3,1,"Turner, Will",1000084163,Right,ROA_COL,"Boyce, Ryan",1000082620,Right,HAM_COL,Undefined,1,Top,1,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,71.63924,2.307748,-3.454998,2308.94799,125.497441,10:15,5.15681,3.25388,5.35128,-47.69325,8.11146,-8.97315,3.35203,-0.73841,65.7299,-6.418762,-5.041499,0.537659,,,,,,,,,,,,3.51961,3.97914,-2.93601,50,5.33126,6.59103,-103.71655,2.73935,3.8359,17.2574,-27.8373,ROA_COL,HAM_COL,LewisGale,D3,ODAC,20230325-LewisGale-1,d8a636b0-cb2a-11ed-926a-8b4d2147cdd8,70.10474,,,5.90934,,,,,,,e65dbd9a-41df-4b16-b7b2-11227e27856a,3/25/2023,34:00.5,2023-03-25T12:34:00.5150850-04:00,2023-03-25T16:34:00.5150850Z,,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,c7264f10-1009-4358-a272-71e6cbc3364d,55.14724,-104.56949,8.6287,5.16186,4.1152,-13.91865,-3.25708,6.40144,1.91795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
