PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,3/4/2023,43:22.3,1,1,"Lingenfelter, Caleb",1000084182,Right,ROA_COL,"Houlahan, James",1000227769,Left,SUN_BRO,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.77035,-2.102381,-3.914692,2086.086604,238.467722,2:00,5.48132,2.32663,4.93838,-24.74084,10.44256,15.22229,1.42697,-0.11059,83.28212,-6.621737,-1.236666,0.426914,,,,,,,,,,,,-8.58071,6.0491,-1.95884,50,5.25615,8.26624,-131.39061,-5.80696,-15.06661,26.68207,-21.55265,ROA_COL,SUN_BRO,LewisGale,D3,ODAC,20230304-LewisGale-2,f7d39210-badd-11ed-800c-eb8cc1e453d5,88.29053,,,7.48823,,,,,,,8b368792-4b7f-4709-8071-bf44d63529b4,3/4/2023,43:22.3,2023-03-04T17:43:22.2671090-05:00,2023-03-04T22:43:22.2671090Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,b5146388-e00f-4990-ac56-30999c834620,55.56283,-132.51546,13.34104,5.48181,-4.89835,-10.77633,-2.32071,8.90141,-7.5333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,3/4/2023,43:33.9,1,2,"Lingenfelter, Caleb",1000084182,Right,ROA_COL,"Houlahan, James",1000227769,Left,SUN_BRO,Undefined,1,Top,0,0,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.09017,-1.693525,-4.255363,2065.4296,243.445018,2:00,5.44348,2.28714,4.97383,-26.11025,8.92252,15.57828,1.66315,-0.4414,83.23652,-6.465458,-1.514698,0.425999,,,,,,,,,,,,-8.89394,5.21866,-1.88883,50,5.25829,9.05939,-131.77966,-4.94112,-15.64785,27.86749,-22.99241,ROA_COL,SUN_BRO,LewisGale,D3,ODAC,20230304-LewisGale-2,febc5e90-badd-11ed-800c-eb8cc1e453d5,88.48011,,,7.85365,,,,,,,8b368792-4b7f-4709-8071-bf44d63529b4,3/4/2023,43:33.9,2023-03-04T17:43:33.8758898-05:00,2023-03-04T22:43:33.8758898Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,170815d3-a945-474e-9cdf-ea293ae62d7b,55.52691,-132.9433,13.93375,5.44457,-3.98105,-11.49621,-2.28075,9.71279,-7.82393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,3/4/2023,43:48.5,1,3,"Lingenfelter, Caleb",1000084182,Right,ROA_COL,"Houlahan, James",1000227769,Left,SUN_BRO,Undefined,1,Top,0,0,2,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,91.44212,-0.952773,-4.225953,2051.269184,236.805832,2:00,5.57664,2.14327,4.87615,-24.45615,10.58418,14.36284,2.63454,-0.66585,83.03957,-5.443782,-1.704928,0.426045,73.50382,-36.814962,-13.347555,,,,,5.56786,2.39086,-0.223298,0.042649,-8.35697,5.8339,-1.74015,50,5.46248,9.07851,-132.24053,-3.17136,-14.72803,29.4537,-21.89256,ROA_COL,SUN_BRO,LewisGale,D3,ODAC,20230304-LewisGale-2,077668a0-bade-11ed-800c-eb8cc1e453d5,88.47056,2.7652,,8.40255,,,,1.9733,2.7652,0.83116,8b368792-4b7f-4709-8071-bf44d63529b4,3/4/2023,43:48.5,2023-03-04T17:43:48.4833522-05:00,2023-03-04T22:43:48.4833522Z,GroundBall,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,6c734ffe-7a79-4f22-bfb3-9228be0a008b,55.62442,-133.48736,14.72685,5.57712,-2.2446,-10.94628,-2.13766,9.70198,-7.36402,,1.97119,84.28229,,,,,,,,2.76683,-64.83694,,,,,,,,0.83166,-19.99737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
4,3/4/2023,44:16.2,2,1,"Lingenfelter, Caleb",1000084182,Right,ROA_COL,"Genau, John",1000227755,Right,SUN_BRO,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.37732,-0.681317,-4.313105,2169.771808,221.097279,1:15,5.52242,2.23216,5.07222,-18.623,15.86434,12.91367,3.3263,-0.76586,83.68274,-4.143132,-2.040078,0.42267,,,,,,,,,,,,-7.50961,8.36481,-1.83281,50,5.44329,9.35868,-132.3024,-2.24963,-13.3958,26.53204,-17.25273,ROA_COL,SUN_BRO,LewisGale,D3,ODAC,20230304-LewisGale-2,17ed5810-bade-11ed-800c-eb8cc1e453d5,89.17701,,,7.69458,,,,,,,8b368792-4b7f-4709-8071-bf44d63529b4,3/4/2023,44:16.2,2023-03-04T17:44:16.1714418-05:00,2023-03-04T22:44:16.1714418Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,790c5f10-b452-4c2f-b7d0-77df2c1f743f,55.42775,-133.38644,13.26602,5.5208,-1.54471,-8.62637,-2.22636,9.906,-6.6979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,3/4/2023,44:29.3,2,2,"Lingenfelter, Caleb",1000084182,Right,ROA_COL,"Genau, John",1000227755,Right,SUN_BRO,Undefined,1,Top,1,1,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.39681,-1.020193,-2.806595,2112.702679,40.868162,7:15,5.44095,2.12796,4.9589,-42.12294,-0.39224,-1.47693,0.96557,-0.64889,76.67351,-8.610594,-3.067105,0.464942,,,,,,,,,,,,-0.05843,0.47752,-1.85463,50,5.30725,5.98922,-120.85487,-3.76602,-0.08632,23.83144,-31.46866,ROA_COL,SUN_BRO,LewisGale,D3,ODAC,20230304-LewisGale-2,1fc7d790-bade-11ed-800c-eb8cc1e453d5,81.06906,,,6.72329,,,,,,,8b368792-4b7f-4709-8071-bf44d63529b4,3/4/2023,44:29.2,2023-03-04T17:44:29.2532466-05:00,2023-03-04T22:44:29.2532466Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,5aa23a90-4a9b-4598-872f-0d46d39ab2b9,55.54197,-121.9428,11.91572,5.44639,-2.32945,-15.73433,-2.12814,5.99316,-0.04316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,3/4/2023,44:42.8,2,3,"Lingenfelter, Caleb",1000084182,Right,ROA_COL,"Genau, John",1000227755,Right,SUN_BRO,Undefined,1,Top,1,2,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.81191,-1.11168,-4.410984,2199.953614,237.650367,2:00,5.51879,2.18882,4.93535,-24.4871,10.57705,15.01666,2.42418,-0.73733,83.40793,-5.588829,-1.773163,0.42619,,,,,,,,,,,,-8.53508,5.83449,-1.772,50,5.39029,9.4184,-131.46422,-3.52216,-15.05305,25.8425,-21.88394,ROA_COL,SUN_BRO,LewisGale,D3,ODAC,20230304-LewisGale-2,27c74430-bade-11ed-800c-eb8cc1e453d5,88.44048,,,7.40398,,,,,,,8b368792-4b7f-4709-8071-bf44d63529b4,3/4/2023,44:42.8,2023-03-04T17:44:42.7677938-05:00,2023-03-04T22:44:42.7677938Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,01664466-5200-4197-a7f1-e632667a3ab4,55.56552,-132.55374,12.92125,5.51933,-2.59953,-10.94197,-2.18246,10.05304,-7.52652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,3/4/2023,44:55.7,2,4,"Lingenfelter, Caleb",1000084182,Right,ROA_COL,"Genau, John",1000227755,Right,SUN_BRO,Undefined,1,Top,1,2,1,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,90.97393,-1.46979,-3.053262,2051.253776,223.844044,1:30,5.47374,2.19114,4.8578,-21.37792,13.4591,11.95009,2.29872,0.29415,83.87858,-5.387756,-0.952425,0.424807,83.07171,25.757994,43.69606,5377.751277,71.60514,42.3647,83.50252,260.56562,235.67582,58.233503,3.691824,-6.67213,7.31327,-1.90057,50,5.31073,6.46585,-131.91862,-4.22089,-11.8855,25.20271,-19.14644,ROA_COL,SUN_BRO,LewisGale,D3,ODAC,20230304-LewisGale-2,2f838d50-bade-11ed-800c-eb8cc1e453d5,88.72831,46.35278,,7.09535,,,,0.20856,2.15386,-0.37259,8b368792-4b7f-4709-8071-bf44d63529b4,3/4/2023,44:55.7,2023-03-04T17:44:55.6990706-05:00,2023-03-04T22:44:55.6990706Z,LineDrive,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,eedb7bc8-7b1e-49fa-83f1-b059a8f91fb8,55.64386,-132.99249,12.60136,5.4732,-3.40507,-9.57322,-2.18686,6.97228,-5.94275,229.102906,0.20784,79.35652,-21.52323,5.25813,-1.27939,0.32389,-0.0795,0.01275,-0.00086,2.1546,52.92666,-17.14138,0.72497,0.1546,-0.14613,0.05405,-0.00923,0.00059,-0.37293,75.81948,-5.39871,0.3427,-0.1486,0.13386,-0.0525,0.0097,-0.00068,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,3/4/2023,45:13.4,2,5,"Lingenfelter, Caleb",1000084182,Right,ROA_COL,"Genau, John",1000227755,Right,SUN_BRO,Undefined,1,Top,1,2,2,Slider,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,83.91105,1.083419,-1.800405,2211.998712,112.713012,9:45,5.4096,2.11966,4.79763,-39.02793,2.47343,-2.7104,3.18455,0.18715,76.55279,-5.990265,-2.27681,0.463663,,,,,,,,,,,,0.81327,1.32016,-1.93768,50,5.48392,3.94558,-121.59678,0.77812,1.21435,24.44587,-30.20283,ROA_COL,SUN_BRO,LewisGale,D3,ODAC,20230304-LewisGale-2,3a07d010-bade-11ed-800c-eb8cc1e453d5,81.2927,,,7.35826,,,,,,,8b368792-4b7f-4709-8071-bf44d63529b4,3/4/2023,45:13.4,2023-03-04T17:45:13.3568242-05:00,2023-03-04T22:45:13.3568242Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,38a17c3c-842f-41f8-82f5-ff1f16a51cc3,55.70151,-122.73766,12.22294,5.41471,2.18767,-15.10141,-2.1205,3.88891,0.60718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,3/4/2023,45:34.7,3,1,"Lingenfelter, Caleb",1000084182,Right,ROA_COL,"Pastore, Nicholas",1000227770,Left,SUN_BRO,Undefined,1,Top,2,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.99751,-2.539205,-4.945794,2193.644713,238.103063,2:00,5.46529,2.22099,4.94434,-21.75753,13.50682,19.81269,1.24195,-0.81361,82.99364,-6.548006,-1.466967,0.427405,,,,,,,,,,,,-11.19768,7.72878,-1.75697,50,5.20014,10.42738,-131.44618,-6.67735,-19.58827,27.90346,-18.65398,ROA_COL,SUN_BRO,LewisGale,D3,ODAC,20230304-LewisGale-2,46c4c4c0-bade-11ed-800c-eb8cc1e453d5,88.18912,,,8.00387,,,,,,,8b368792-4b7f-4709-8071-bf44d63529b4,3/4/2023,45:34.7,2023-03-04T17:45:34.7328242-05:00,2023-03-04T22:45:34.7328242Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,81ef8feb-febe-4428-8cc3-dfb74d7ddaca,55.55694,-132.62056,13.95173,5.46465,-5.89225,-9.32699,-2.21318,11.2518,-9.79414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,3/4/2023,45:45.4,3,2,"Lingenfelter, Caleb",1000084182,Right,ROA_COL,"Pastore, Nicholas",1000227770,Left,SUN_BRO,Undefined,1,Top,2,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.50973,-0.596676,-2.227445,2169.551105,219.713942,1:15,5.434,2.27207,4.98505,-17.79253,17.4243,13.56135,3.38738,1.29766,82.75512,-3.917943,0.163811,0.427117,,,,,,,,,,,,-7.2937,9.10658,-2.06882,50,5.36251,4.45564,-131.26561,-1.99778,-12.77049,26.87425,-16.2294,ROA_COL,SUN_BRO,LewisGale,D3,ODAC,20230304-LewisGale-2,4d11c670-bade-11ed-800c-eb8cc1e453d5,88.24856,,,7.75461,,,,,,,8b368792-4b7f-4709-8071-bf44d63529b4,3/4/2023,45:45.4,2023-03-04T17:45:45.3665522-05:00,2023-03-04T22:45:45.3665522Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,39c919a5-cb24-40e5-aef7-1a4d77e384da,55.51473,-132.38984,13.43713,5.43189,-1.31886,-8.1147,-2.26638,4.98986,-6.38525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
