PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,3/4/2023,01:18.9,1,1,"Turner, Will",1000084163,Right,ROA_COL,"Butera, Andrew",10016067,Right,FRA_MAR,Undefined,1,Top,0,0,0,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,79.57593,-0.356422,-3.729856,1859.580674,272.364403,3:00,5.33949,3.21479,6.04085,-43.70802,0.86929,17.70241,1.36644,1.23159,72.15522,-8.447704,-0.545285,0.480539,,,,,,,,,,,,-10.3465,1.00272,-2.93317,50,5.28816,6.86272,-115.31415,-2.06998,-13.71691,24.52534,-30.84471,ROA_COL,FRA_MAR,LewisGale,D3,ODAC,20230304-LewisGale-1,6ae137d0-ba9d-11ed-800c-eb8cc1e453d5,78.43786,,,7.42072,,,,,,,a2fb501e-15ef-4044-b71e-e66b9db765c5,3/4/2023,01:18.9,2023-03-04T10:01:18.9292676-05:00,2023-03-04T15:01:18.9292676Z,,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,fe53075f-88d6-452b-8530-2e0453a37b17,54.46021,-116.25889,12.26267,5.34502,-0.88181,-15.42236,-3.2077,7.39111,-6.85846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,3/4/2023,01:42.4,1,2,"Turner, Will",1000084163,Right,ROA_COL,"Butera, Andrew",10016067,Right,FRA_MAR,Undefined,1,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,71.65704,1.225633,-0.632214,2241.317469,132.156625,10:30,5.42029,3.29212,5.39092,-40.0953,15.75458,-15.34076,3.22799,1.42116,65.26061,-6.198372,-3.357957,0.537877,,,,,,,,,,,,7.48981,8.10386,-3.22458,50,5.50208,1.70759,-103.90088,1.06294,8.12745,18.6,-23.38029,ROA_COL,FRA_MAR,LewisGale,D3,ODAC,20230304-LewisGale-1,78e663f0-ba9d-11ed-800c-eb8cc1e453d5,70.07638,,,6.39643,,,,,,,a2fb501e-15ef-4044-b71e-e66b9db765c5,3/4/2023,01:42.4,2023-03-04T10:01:42.3721604-05:00,2023-03-04T15:01:42.3721604Z,,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,7c07c1d9-ebaa-4902-b9f7-4b1db6a5d558,55.10659,-104.81106,9.3,5.42207,2.20704,-11.69014,-3.29842,1.30988,4.06372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,3/4/2023,01:55.1,1,3,"Turner, Will",1000084163,Right,ROA_COL,"Butera, Andrew",10016067,Right,FRA_MAR,Undefined,1,Top,0,1,1,Fastball,Changeup,InPlay,Undefined,FlyBall,Double,0,0,,80.61166,0.330513,-4.728936,1915.766962,241.502062,2:00,5.31444,3.14101,6.35048,-31.48234,11.21229,17.98477,2.99619,0.27682,73.20975,-5.59787,-1.487238,0.470282,89.94258,30.7444,18.876018,3314.250526,101.19013,56.66692,43.13417,328.51177,326.47427,32.621696,4.600286,-10.81965,6.15398,-2.80538,50,5.32369,9.02119,-116.78888,-0.19594,-14.84055,23.41144,-23.73303,ROA_COL,FRA_MAR,LewisGale,D3,ODAC,20230304-LewisGale-1,806c81e0-ba9d-11ed-800c-eb8cc1e453d5,80.14866,71.41802,,7.40191,,,,2.16374,3.1005,-0.27206,a2fb501e-15ef-4044-b71e-e66b9db765c5,3/4/2023,01:55.1,2023-03-04T10:01:55.0814340-05:00,2023-03-04T15:01:55.0814340Z,FlyBall,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,71f1a976-4aeb-42d9-8ee6-2edfbb90a7ef,54.1506,-117.61797,11.70572,5.31575,0.64453,-11.86652,-3.13416,9.54676,-7.42028,225.002569,2.16564,107.23452,-20.80276,4.31612,-0.6242,0.02323,0.00393,0.00023,-7.00E-05,3.09964,67.45327,-18.7378,1.32268,-0.21653,0.0266,0.00483,-0.00171,0.00012,-0.27136,36.66701,3.47471,-1.86914,0.51147,-0.08718,0.00827,-5.00E-05,-4.00E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,3/4/2023,02:38.6,2,1,"Turner, Will",1000084163,Right,ROA_COL,"Berson, Spencer",1000121546,Right,FRA_MAR,Undefined,1,Top,0,0,0,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,71.34812,1.756895,-2.148708,2161.967773,131.051594,10:15,5.36018,3.30001,5.30188,-43.87278,11.67961,-11.67894,3.35518,0.30859,66.224,-6.255336,-4.216807,0.536442,,,,,,,,,,,,5.32422,5.91426,-3.09592,50,5.4881,4.30737,-103.57259,1.8564,5.85779,15.2149,-25.66709,ROA_COL,FRA_MAR,LewisGale,D3,ODAC,20230304-LewisGale-1,9a692fd0-ba9d-11ed-800c-eb8cc1e453d5,70.26376,,,5.12411,,,,,,,a2fb501e-15ef-4044-b71e-e66b9db765c5,3/4/2023,02:38.6,2023-03-04T10:02:38.6060932-05:00,2023-03-04T15:02:38.6060932Z,,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,503e875a-b3c2-4e1c-95bf-488224bb5223,55.19826,-104.33342,7.60745,5.36318,3.1399,-12.83354,-3.30399,4.01444,2.92889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,3/4/2023,02:54.3,2,2,"Turner, Will",1000084163,Right,ROA_COL,"Berson, Spencer",1000121546,Right,FRA_MAR,Undefined,1,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,71.03777,2.024162,-1.510554,2151.482166,139.193726,10:45,5.32235,3.18198,5.13673,-41.08994,15.79619,-12.15997,3.80578,0.74585,65.2328,-5.52046,-3.658341,0.542843,,,,,,,,,,,,5.62953,7.8454,-3.03058,50,5.48095,3.16623,-102.99786,2.4093,6.06925,16.52862,-23.71589,ROA_COL,FRA_MAR,LewisGale,D3,ODAC,20230304-LewisGale-1,a3c3bfa0-ba9d-11ed-800c-eb8cc1e453d5,69.4352,,,5.80497,,,,,,,a2fb501e-15ef-4044-b71e-e66b9db765c5,3/4/2023,02:54.3,2023-03-04T10:02:54.3074436-05:00,2023-03-04T15:02:54.3074436Z,,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,5a7e3e08-b8f1-4a8c-a614-12d3e7cc49a4,55.36147,-103.85469,8.26431,5.32419,3.6387,-11.85795,-3.18656,2.8516,3.03463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,3/4/2023,03:10.3,2,3,"Turner, Will",1000084163,Right,ROA_COL,"Berson, Spencer",1000121546,Right,FRA_MAR,Undefined,1,Top,0,1,1,Slider,Curveball,InPlay,Undefined,GroundBall,Error,0,0,,71.80809,0.63179,-2.600339,2196.566839,144.685431,10:45,5.28076,3.30634,5.54353,-39.97711,14.15178,-9.01993,2.54043,0.12277,66.98543,-6.692524,-4.204743,0.529524,72.15454,9.675831,-35.764846,2503.017508,,,,87.46225,86.35946,-35.210802,0.865785,4.02445,7.44201,-3.07447,50,5.30874,5.04234,-104.34836,0.00069,4.50732,14.96238,-23.83915,ROA_COL,FRA_MAR,LewisGale,D3,ODAC,20230304-LewisGale-1,ad42a050-ba9d-11ed-800c-eb8cc1e453d5,71.18171,5.95322,,4.82266,,,,4.66239,2.87915,-0.34672,a2fb501e-15ef-4044-b71e-e66b9db765c5,3/4/2023,03:10.3,2023-03-04T10:03:10.2862980-05:00,2023-03-04T15:03:10.2862980Z,GroundBall,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,baee5751-a1fd-4dbe-8435-11ed7ce4f4ae,54.95921,-105.05705,7.48119,5.28197,1.12982,-11.91957,-3.30824,4.82885,2.25366,19.765023,4.66239,84.64845,-9.10016,0.5998,-0.09926,-0.01461,0.02111,-0.01393,0.00398,2.87915,17.78663,-26.78012,3.24086,-0.6402,0.07323,0.09966,-0.09787,0.03146,-0.34672,-60.97147,3.40016,0.28826,-0.0753,0.01721,0.02489,-0.02694,0.00895,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,3/4/2023,03:49.0,3,1,"Turner, Will",1000084163,Right,ROA_COL,"Elliott, Patrick",1000078263,Right,FRA_MAR,Undefined,1,Top,0,0,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,2,0,,80.8775,-0.255924,-4.882046,1986.849258,253.076275,2:30,5.44469,3.26061,6.20719,-35.45486,6.44185,17.2843,2.25304,0.18387,74.92991,-6.821707,-1.774238,0.465866,80.00291,5.075001,7.967569,1765.650789,,,,76.63593,75.97366,10.279644,0.704527,-10.20134,3.74693,-2.90201,50,5.40733,9.40917,-117.34282,-1.58121,-14.40353,19.57283,-26.88365,ROA_COL,FRA_MAR,LewisGale,D3,ODAC,20230304-LewisGale-1,c460e670-ba9d-11ed-800c-eb8cc1e453d5,80.90827,3.56271,,5.94759,,,,1.2176,2.22683,-0.18436,a2fb501e-15ef-4044-b71e-e66b9db765c5,3/4/2023,03:49.0,2023-03-04T10:03:49.0434692-05:00,2023-03-04T15:03:49.0434692Z,GroundBall,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,f7fa14e7-2c27-41b4-bce4-139f6326936e,54.29648,-118.0573,9.78642,5.44714,-0.59987,-13.44182,-3.25508,9.93495,-7.20176,290.840611,1.2176,115.74917,-15.99973,1.86921,-0.30227,0.01052,0.00349,-1.00E-05,-0.00027,2.22683,10.37963,-20.77416,2.52385,-0.52335,0.11873,-0.02228,0.00427,-0.00062,-0.18436,16.20068,6.29937,-2.3362,0.65277,-0.1595,0.03307,-0.00672,0.00089,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,3/4/2023,04:23.0,4,1,"Turner, Will",1000084163,Right,ROA_COL,"Hoffman, Jakob",1000121542,Right,FRA_MAR,Undefined,1,Top,2,0,0,Slider,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,72.42496,1.174873,-2.391885,2220.787597,121.151278,10:00,5.37734,3.204,5.41872,-43.29613,11.00292,-15.45292,2.87103,-0.32569,66.59735,-6.768786,-5.133374,0.530356,63.61928,14.221574,166.750765,2039.078834,,,,99.63737,62.81777,164.59395,1.167153,7.16524,5.68713,-2.98007,50,5.45173,4.93768,-105.05952,0.8666,8.00269,17.91494,-25.82221,ROA_COL,FRA_MAR,LewisGale,D3,ODAC,20230304-LewisGale-1,d89f6530-ba9d-11ed-800c-eb8cc1e453d5,71.07008,8.59815,,5.82761,,,,1.89866,2.86919,0.32053,a2fb501e-15ef-4044-b71e-e66b9db765c5,3/4/2023,04:23.0,2023-03-04T10:04:23.0176900-05:00,2023-03-04T15:04:23.0176900Z,GroundBall,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,c05a3796-4a7e-4fcf-b8a9-c58925b6717b,55.08226,-105.92261,8.95747,5.38001,2.11064,-12.91111,-3.20866,4.55214,4.00135,14.702663,1.89866,-88.04102,4.57872,-1.15278,0.2526,-0.04031,0.00738,-0.00086,-0.00011,2.86919,22.92328,-24.04799,2.46163,-0.49099,0.07135,-0.01089,0.00169,9.00E-05,0.32053,20.72973,0.69229,0.91572,-0.32754,0.09063,-0.01805,0.00486,-0.00062,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,3/4/2023,04:39.9,4,2,"Turner, Will",1000084163,Right,ROA_COL,"Hoffman, Jakob",1000121542,Right,FRA_MAR,Undefined,1,Top,2,0,1,ChangeUp,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,75.05196,-0.263449,-3.686315,1437.559477,266.479569,3:00,5.5497,2.77076,6.45805,-46.02428,2.47725,16.07568,1.47183,0.71937,69.27436,-8.80525,-0.771706,0.501244,92.10285,-13.666794,-62.350391,,,,,9.28747,9.28747,-46.778011,0.052945,-9.48465,1.77162,-2.51689,50,5.5104,6.51092,-109.01391,-1.73914,-11.43244,18.86831,-30.03862,ROA_COL,FRA_MAR,LewisGale,D3,ODAC,20230304-LewisGale-1,e2b30bd0-ba9d-11ed-800c-eb8cc1e453d5,75.19781,1.69205,,5.7776,,,,3.13108,1.69205,-0.6039,a2fb501e-15ef-4044-b71e-e66b9db765c5,3/4/2023,04:39.9,2023-03-04T10:04:39.9231620-05:00,2023-03-04T15:04:39.9231620Z,GroundBall,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,09c104a5-06ec-4b0a-920d-078c32d118a4,54.04523,-109.71183,9.43416,5.55418,-0.62804,-15.01931,-2.76554,6.9338,-5.71622,180,3.13041,60.99169,,,,,,,,1.6924,-31.95842,,,,,,,,-0.60261,-116.42071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
10,3/4/2023,05:04.1,4,3,"Turner, Will",1000084163,Right,ROA_COL,"Hoffman, Jakob",1000121542,Right,FRA_MAR,Undefined,1,Top,2,0,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.25451,0.51675,-4.355052,2064.085037,119.120137,10:00,5.40227,3.06532,5.40649,-44.7153,8.98205,-12.96729,2.1616,-2.10377,67.05105,-7.659045,-6.646228,0.527409,,,,,,,,,,,,5.19646,4.90221,-2.66751,50,5.41753,8.5483,-105.95863,-0.40464,5.86115,19.43752,-26.6448,ROA_COL,FRA_MAR,LewisGale,D3,ODAC,20230304-LewisGale-1,f14a3ec0-ba9d-11ed-800c-eb8cc1e453d5,71.46716,,,6.20346,,,,,,,a2fb501e-15ef-4044-b71e-e66b9db765c5,3/4/2023,05:04.1,2023-03-04T10:05:04.1374340-05:00,2023-03-04T15:05:04.1374340Z,,v3,,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,fcfd7f2e-3df7-4df1-9ba4-09dd5bd69b47,55.09202,-106.88865,9.71876,5.40639,0.87022,-13.3224,-3.06981,8.26787,2.93057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
