PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,3/5/2023,44:27.5,1,1,"Roy, Colby",1000106009,Right,ROA_COL,"Bonnizzio, Nick",1000229063,Left,MAR_COL,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.79128,-0.437973,-1.045171,2068.724471,233.138748,1:45,6.0052,1.00004,5.47282,-25.7136,12.96083,15.60111,3.45246,1.32193,78.20096,-5.220628,1.733735,0.447593,,,,,,,,,,,,-8.10622,7.03559,-0.91886,50,5.94944,1.58957,-124.49892,-1.8174,-12.68051,25.77409,-21.16831,ROA_COL,MAR_COL,LewisGale,D3,ODAC,20230305-LewisGale-1,48aa5b50-bba7-11ed-800c-eb8cc1e453d5,84.2114,,,7.59032,,,,,,,3786782b-ce56-4203-8ec0-06c7c27802c0,3/5/2023,44:27.5,2023-03-05T17:44:27.5454332-05:00,2023-03-05T22:44:27.5454332Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,503767a3-7ff3-41c5-8e81-100b8e132897,55.02577,-125.53506,12.88705,6.0054,-0.96642,-10.58416,-0.99302,2.09933,-6.34026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,3/5/2023,44:43.0,1,2,"Roy, Colby",1000106009,Right,ROA_COL,"Bonnizzio, Nick",1000229063,Left,MAR_COL,Undefined,1,Top,0,1,0,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,84.38121,-0.833791,-2.843321,1966.836287,239.793714,2:00,5.79674,1.16219,5.82903,-29.6999,9.52709,14.30001,2.54564,-0.29149,77.54506,-6.339075,-0.281383,0.450779,91.90064,28.232994,39.144208,2871.27835,81.41563,52.32981,73.9687,332.76031,314.06676,50.060673,4.500774,-8.15099,5.43768,-0.93867,50,5.71086,5.52839,-122.52406,-2.74408,-12.43017,23.48485,-23.88167,ROA_COL,MAR_COL,LewisGale,D3,ODAC,20230305-LewisGale-1,51dc0660-bba7-11ed-800c-eb8cc1e453d5,83.6162,67.26733,,6.83615,,,,3.02596,2.68335,0.20923,3786782b-ce56-4203-8ec0-06c7c27802c0,3/5/2023,44:43.0,2023-03-05T17:44:42.9624700-05:00,2023-03-05T22:44:42.9624700Z,FlyBall,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,5514e048-65ff-4978-9824-b0a18a742413,54.67349,-123.4166,11.74242,5.7979,-1.83646,-11.94083,-1.15776,6.0008,-6.21509,218.969433,3.02677,92.08576,-22.92009,6.03023,-1.38785,0.28829,-0.05525,0.00767,-0.00048,2.68442,63.73006,-16.67494,0.01842,0.55148,-0.2902,0.08358,-0.01214,0.00069,0.20969,74.95534,-6.41176,0.48592,0.11472,-0.05119,0.00723,-4.00E-05,-5.00E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
3,3/5/2023,45:03.4,1,3,"Roy, Colby",1000106009,Right,ROA_COL,"Bonnizzio, Nick",1000229063,Left,MAR_COL,Undefined,1,Top,0,1,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,77.70436,-0.116087,-2.199864,1665.983493,254.976978,2:30,5.51781,1.33936,5.87606,-42.35435,4.15284,9.79024,1.88038,0.11101,71.10753,-7.934202,-0.442083,0.49083,,,,,,,,,,,,-5.63626,2.6387,-1.16703,50,5.48409,3.96774,-112.78281,-1.53541,-7.22395,21.45368,-28.79202,ROA_COL,MAR_COL,LewisGale,D3,ODAC,20230305-LewisGale-1,5e16d2c0-bba7-11ed-800c-eb8cc1e453d5,76.79321,,,6.59684,,,,,,,3786782b-ce56-4203-8ec0-06c7c27802c0,3/5/2023,45:03.4,2023-03-05T17:45:03.3688444-05:00,2023-03-05T22:45:03.3688444Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,6695373e-25b0-49dc-bd51-6d3e794591e3,54.62361,-113.65892,10.72684,5.52278,-0.35963,-14.39601,-1.33508,4.26274,-3.61198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,3/5/2023,45:20.8,1,4,"Roy, Colby",1000106009,Right,ROA_COL,"Bonnizzio, Nick",1000229063,Left,MAR_COL,Undefined,1,Top,0,1,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,80.25908,-1.367623,-2.780927,1651.934129,234.07251,1:45,5.51731,1.44986,5.96018,-34.09502,9.20603,10.81075,1.40611,-0.23008,73.73575,-7.683899,-0.838474,0.47361,,,,,,,,,,,,-6.32512,5.52548,-1.23497,50,5.38955,5.25278,-116.47646,-3.82177,-8.69166,21.82164,-24.58122,ROA_COL,MAR_COL,LewisGale,D3,ODAC,20230305-LewisGale-1,686dc3f0-bba7-11ed-800c-eb8cc1e453d5,79.58545,,,6.52333,,,,,,,3786782b-ce56-4203-8ec0-06c7c27802c0,3/5/2023,45:20.8,2023-03-05T17:45:20.8050000-05:00,2023-03-05T22:45:20.8050000Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,682f8c46-c962-4644-af92-7d8c7da0e089,54.54014,-117.32396,10.91082,5.51944,-2.86709,-12.29061,-1.44553,5.59034,-4.34583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.58138,2.329359,1.314808,1.014551,-0.00792,1.21152,0.25027,-0.16241,3.97568,-1.73417,78.39446,4.58314,-46.3842,-0.14394,82.03795,-4.55304,4.06046,16.87346,-16.09022,-1.8298,-51.3253,7.2685,High,High,High,,,High,High,High
5,3/5/2023,45:47.8,2,1,"Roy, Colby",1000106009,Right,ROA_COL,"Richter, Alex",8607,Left,MAR_COL,Undefined,1,Top,1,0,0,Fastball,Changeup,InPlay,Undefined,LineDrive,Out,1,0,,85.91946,-2.199327,-2.074871,2022.118874,222.616699,1:30,6.05019,0.94908,5.47615,-22.6993,15.82816,13.41249,2.09816,0.12434,78.6078,-6.426167,0.313687,0.446742,101.20811,19.661522,24.524182,1952.097539,98.11357,33.73388,49.73635,325.11704,313.59294,32.222826,3.466368,-7.38107,8.97926,-0.77635,50,5.84163,3.94818,-124.60075,-5.53157,-11.59444,25.22361,-18.06912,ROA_COL,MAR_COL,LewisGale,D3,ODAC,20230305-LewisGale-1,7888fed0-bba7-11ed-800c-eb8cc1e453d5,84.37188,41.81693,,7.31166,,,,1.61181,2.09239,-0.09829,3786782b-ce56-4203-8ec0-06c7c27802c0,3/5/2023,45:47.8,2023-03-05T17:45:47.8217084-05:00,2023-03-05T22:45:47.8217084Z,LineDrive,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,702e02a8-89eb-4664-8abb-5c64bb9ca6fc,55.02457,-125.61378,12.61181,6.04922,-4.80588,-9.03456,-0.94427,4.41384,-5.79722,226.116367,1.61232,127.15351,-25.51134,5.77193,-0.99532,0.06151,0.02371,-0.00712,0.00064,2.09192,49.96234,-16.98155,1.0939,-0.38433,0.20296,-0.06976,0.01321,-0.00102,-0.09852,58.03106,-2.09808,-0.35792,0.10707,0.01503,-0.01318,0.0027,-0.00019,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,3/5/2023,46:18.5,3,1,"Roy, Colby",1000106009,Right,ROA_COL,"Carson, Brett",1000103360,Left,MAR_COL,Undefined,1,Top,2,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.03297,-1.88333,-2.155216,1573.445729,258.277936,2:30,5.49078,1.47097,5.73938,-40.77073,4.21205,13.53241,0.33765,0.59085,72.94157,-9.343794,0.271491,0.482719,,,,,,,,,,,,-7.52268,3.07473,-1.30004,50,5.30873,3.81104,-114.72195,-5.0754,-10.03106,21.11288,-28.07407,ROA_COL,MAR_COL,LewisGale,D3,ODAC,20230305-LewisGale-1,8ad30090-bba7-11ed-800c-eb8cc1e453d5,78.08359,,,6.0914,,,,,,,3786782b-ce56-4203-8ec0-06c7c27802c0,3/5/2023,46:18.5,2023-03-05T17:46:18.4733052-05:00,2023-03-05T22:46:18.4733052Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,4159aa78-5c4f-495d-97e8-f6f0e83f730b,54.76248,-115.59509,10.55644,5.49462,-3.91438,-14.03704,-1.46622,4.22588,-5.01553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,3/5/2023,46:33.9,3,2,"Roy, Colby",1000106009,Right,ROA_COL,"Carson, Brett",1000103360,Left,MAR_COL,Undefined,1,Top,2,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.85298,-2.264694,-1.988012,1584.307968,258.150914,2:30,5.41034,1.48107,6.07479,-40.52396,3.88709,12.26111,-0.06457,0.66255,73.20464,-9.702427,0.225566,0.479642,,,,,,,,,,,,-6.9163,2.96166,-1.33388,50,5.21304,3.54858,-114.56754,-5.75074,-9.23915,20.16177,-28.21771,ROA_COL,MAR_COL,LewisGale,D3,ODAC,20230305-LewisGale-1,93fbaaf0-bba7-11ed-800c-eb8cc1e453d5,78.58457,,,5.64834,,,,,,,3786782b-ce56-4203-8ec0-06c7c27802c0,3/5/2023,46:33.9,2023-03-05T17:46:33.8803068-05:00,2023-03-05T22:46:33.8803068Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,22f984f0-b5f7-41d3-bc51-f65128bb97d7,54.42832,-115.34421,10.08089,5.41363,-4.66374,-14.10886,-1.47744,3.90449,-4.61957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,3/5/2023,46:50.2,3,3,"Roy, Colby",1000106009,Right,ROA_COL,"Carson, Brett",1000103360,Left,MAR_COL,Undefined,1,Top,2,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.58924,-0.282502,-0.567068,2182.299425,54.272853,7:45,5.62807,1.29223,5.24171,-59.82306,-7.13556,-12.09414,0.37729,-0.24859,68.42051,-11.045837,-2.720028,0.522427,,,,,,,,,,,,5.95685,-3.12902,-1.23058,50,5.55686,1.49929,-106.93837,-2.4869,6.90489,18.26849,-35.80105,ROA_COL,MAR_COL,LewisGale,D3,ODAC,20230305-LewisGale-1,9dc21bf0-bba7-11ed-800c-eb8cc1e453d5,72.14877,,,5.16873,,,,,,,3786782b-ce56-4203-8ec0-06c7c27802c0,3/5/2023,46:50.2,2023-03-05T17:46:50.2403452-05:00,2023-03-05T22:46:50.2403452Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,d46d3f08-d29f-4a4e-bfb4-3c928ea8b11f,55.26308,-107.83372,9.13424,5.63575,-0.73226,-17.90053,-1.29577,1.16088,3.45244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,3/5/2023,47:11.4,3,4,"Roy, Colby",1000106009,Right,ROA_COL,"Carson, Brett",1000103360,Left,MAR_COL,Undefined,1,Top,2,2,1,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.72051,-2.40405,-1.891901,2067.739705,233.027173,1:45,5.98912,0.96996,5.42464,-25.81147,13.92186,16.77091,1.58383,0.59481,77.57161,-7.177494,1.0938,0.453679,,,,,,,,,,,,-8.95843,8.07378,-0.814,50,5.7579,3.34293,-122.83358,-6.023,-13.67054,24.60171,-19.85346,ROA_COL,MAR_COL,LewisGale,D3,ODAC,20230305-LewisGale-1,aa659530-bba7-11ed-800c-eb8cc1e453d5,83.08169,,,7.1489,,,,,,,3786782b-ce56-4203-8ec0-06c7c27802c0,3/5/2023,47:11.4,2023-03-05T17:47:11.4485116-05:00,2023-03-05T22:47:11.4485116Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,5d397192-3f2c-445c-ace6-c95859917fa4,55.0753,-123.84591,12.30085,5.98894,-5.20605,-9.92673,-0.96314,3.90546,-6.83527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,3/5/2023,47:28.5,3,5,"Roy, Colby",1000106009,Right,ROA_COL,"Carson, Brett",1000103360,Left,MAR_COL,Undefined,1,Top,2,2,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.80471,-0.793359,-0.730962,1694.381827,259.032362,2:45,5.47651,1.48854,5.7298,-41.4727,3.67748,11.81847,1.28146,1.7926,72.667,-8.398657,1.387951,0.483617,,,,,,,,,,,,-6.19138,2.54847,-1.43478,50,5.38497,1.00743,-114.49378,-2.92117,-8.23075,20.84275,-28.78615,ROA_COL,MAR_COL,LewisGale,D3,ODAC,20230305-LewisGale-1,b48e4a70-bba7-11ed-800c-eb8cc1e453d5,77.93869,,,6.13771,,,,,,,3786782b-ce56-4203-8ec0-06c7c27802c0,3/5/2023,47:28.5,2023-03-05T17:47:28.5035388-05:00,2023-03-05T22:47:28.5035388Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,9b50e135-4b28-490b-ad6a-2c8eda1fd831,54.77064,-115.35897,10.42138,5.48143,-1.72624,-14.39307,-1.48369,1.3491,-4.11538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
