PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,4/11/2023,02:28.5,1,1,"Murphy, Jackson",10061473,Right,ROA_COL,"Williams, Mason",,Right,AVE_COU,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.18697,-3.350568,-3.297846,2395.448859,212.855068,1:00,5.7545,1.73126,6.83087,-15.46379,19.20273,11.70237,1.40116,-0.30491,81.02591,-6.337727,-1.164187,0.423766,,,,,,,,,,,,-7.08882,11.42131,-1.52308,50,5.53259,6.94972,-127.95793,-7.84952,-11.79903,25.43473,-13.16381,ROA_COL,AVE_COU,LewisGale,D3,ODAC,20230411-LewisGale-1,8d6edfc0-d8b4-11ed-8084-efcd4fafaf30,88.94625,,,7.16105,,,,,,,84a3cc85-0932-4fbb-896d-00b7e54fec65,4/11/2023,02:28.5,2023-04-11T18:02:28.4839728-04:00,2023-04-11T22:02:28.4839728Z,,v3,roanoke,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,a172ad35-d9a8-4dec-b156-c64954b7a6c2,53.67014,-128.68539,12.71737,5.75171,-7.47302,-6.58191,-1.72668,7.28718,-5.89951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,4/11/2023,02:38.1,1,2,"Murphy, Jackson",10061473,Right,ROA_COL,"Williams, Mason",,Right,AVE_COU,Undefined,1,Top,0,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.76957,-2.348555,-3.690272,2454.614189,228.672916,1:30,5.70452,1.71425,6.78631,-21.67399,14.20493,14.87835,1.74871,-0.4194,79.67194,-6.472125,-0.979748,0.431113,,,,,,,,,,,,-8.85764,8.50556,-1.47896,50,5.54308,7.5837,-125.94025,-5.73383,-14.26491,24.92369,-18.47616,ROA_COL,AVE_COU,LewisGale,D3,ODAC,20230411-LewisGale-1,93240e40-d8b4-11ed-8084-efcd4fafaf30,87.43053,,,7.09763,,,,,,,84a3cc85-0932-4fbb-896d-00b7e54fec65,4/11/2023,02:38.1,2023-04-11T18:02:38.0640048-04:00,2023-04-11T22:02:38.0640048Z,,v3,roanoke,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,25f88765-3aca-4303-ba9e-b78996040d48,53.71454,-126.67323,12.46185,5.70372,-5.19047,-9.23808,-1.70816,8.00322,-7.13246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,4/11/2023,02:48.9,1,3,"Murphy, Jackson",10061473,Right,ROA_COL,"Williams, Mason",,Right,AVE_COU,Undefined,1,Top,0,1,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,76.06943,-0.077054,-1.462958,2413.341171,109.937221,9:45,5.50616,2.12474,6.02411,-41.59455,6.34307,-13.48595,1.96856,-0.35437,70.17087,-7.759446,-3.8894,0.498322,,,,,,,,,,,,6.52351,3.75555,-2.00311,50,5.47765,3.30109,-110.54779,-1.36327,8.08083,19.52223,-27.52198,ROA_COL,AVE_COU,LewisGale,D3,ODAC,20230411-LewisGale-1,99aa6f70-d8b4-11ed-8084-efcd4fafaf30,75.63878,,,5.89856,,,,,,,84a3cc85-0932-4fbb-896d-00b7e54fec65,4/11/2023,02:48.9,2023-04-11T18:02:48.9216816-04:00,2023-04-11T22:02:48.9216816Z,,v3,roanoke,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,f3e61bae-cd51-4f92-8ea4-8a3eb6e28843,54.47636,-111.33549,9.76112,5.51025,-0.2528,-13.76099,-2.12973,2.97504,4.04041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,4/11/2023,02:59.6,1,4,"Murphy, Jackson",10061473,Right,ROA_COL,"Williams, Mason",,Right,AVE_COU,Undefined,1,Top,0,1,2,Slider,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,77.64545,0.235006,-1.398073,2482.204701,106.503489,9:30,5.57169,1.8278,5.77796,-40.68101,6.42473,-16.18883,2.40034,-0.82244,70.57454,-7.290409,-4.296434,0.493979,,,,,,,,,,,,7.86,3.64862,-1.70225,50,5.56664,3.34723,-112.65614,-0.78171,9.95545,23.22096,-27.55272,ROA_COL,AVE_COU,LewisGale,D3,ODAC,20230411-LewisGale-1,a00553d0-d8b4-11ed-8084-efcd4fafaf30,76.30376,,,7.07091,,,,,,,84a3cc85-0932-4fbb-896d-00b7e54fec65,4/11/2023,02:59.6,2023-04-11T18:02:59.6116272-04:00,2023-04-11T22:02:59.6116272Z,,v3,roanoke,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,6eb9a38f-b51e-4233-9ea5-0346b79c63ea,54.72237,-113.62535,11.61048,5.57527,0.36831,-13.77636,-1.83329,2.9317,4.97773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,4/11/2023,03:19.8,1,5,"Murphy, Jackson",10061473,Right,ROA_COL,"Williams, Mason",,Right,AVE_COU,Undefined,1,Top,0,1,2,Slider,Slider,InPlay,Undefined,Popup,Out,1,0,,76.35962,1.209666,-0.882261,2403.83902,111.056021,9:45,5.50797,1.83331,5.89229,-40.02191,8.4193,-17.56623,3.29629,-0.44979,69.31892,-6.238193,-4.032803,0.500932,62.35804,24.00658,-3.996985,1707.9245,109.99241,22.45969,-1.29027,168.70127,159.69001,0.934661,2.434798,8.78477,4.37969,-1.75177,50,5.58248,2.33361,-110.82165,1.17248,10.77822,22.28683,-26.80049,ROA_COL,AVE_COU,LewisGale,D3,ODAC,20230411-LewisGale-1,ac0e13b0-d8b4-11ed-8084-efcd4fafaf30,75.24459,23.98443,,7.0407,,,,3.05618,3.49942,0.32521,84a3cc85-0932-4fbb-896d-00b7e54fec65,4/11/2023,03:19.8,2023-04-11T18:03:19.7951792-04:00,2023-04-11T22:03:19.7951792Z,LineDrive,v3,roanoke,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,14f15314-c4c8-4f6b-8ca5-9c467097d01e,54.60834,-111.74457,11.14342,5.51095,2.28232,-13.40025,-1.83916,1.88727,5.38911,246.657576,3.05632,83.33784,-8.09311,1.0739,-0.10882,0.00447,-0.04678,0.02627,-0.00403,3.4994,37.20922,-18.00034,1.12684,-0.08812,-0.09348,0.0841,-0.02779,0.00326,0.32515,-5.82113,4.53262,-1.27239,0.31015,-0.04595,0.01813,-0.00826,0.00125,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,4/11/2023,03:48.2,2,1,"Murphy, Jackson",10061473,Right,ROA_COL,"Brophy, Brandt",,Right,AVE_COU,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.09657,-3.810283,-3.917931,2312.751281,227.920246,1:30,5.78753,1.51377,6.91871,-21.23639,14.28221,14.58182,0.53496,-0.84427,80.14958,-7.844445,-1.254969,0.428943,,,,,,,,,,,,-8.86977,8.99079,-1.27253,50,5.54015,8.14518,-126.2622,-8.96108,-14.35826,25.04038,-17.6199,ROA_COL,AVE_COU,LewisGale,D3,ODAC,20230411-LewisGale-1,bcf0e450-d8b4-11ed-8084-efcd4fafaf30,87.87289,,,6.947,,,,,,,84a3cc85-0932-4fbb-896d-00b7e54fec65,4/11/2023,03:48.2,2023-04-11T18:03:48.2150704-04:00,2023-04-11T22:03:48.2150704Z,,v3,roanoke,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,3e3b3b5b-f37c-4fb6-842e-6abf6c9b9c4b,53.58349,-126.97089,12.52019,5.78671,-8.4624,-8.80995,-1.50881,8.55155,-7.17913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,4/11/2023,03:58.0,2,2,"Murphy, Jackson",10061473,Right,ROA_COL,"Brophy, Brandt",,Right,AVE_COU,Undefined,1,Top,1,1,0,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,87.08799,-1.906928,-2.881807,2324.112246,225.461193,1:30,5.77167,1.67634,6.69019,-20.1021,15.62776,14.73682,2.34961,0.26654,79.80208,-5.746165,-0.199416,0.430216,67.35407,57.297138,122.473227,5687.911265,-80.331,72.15806,75.14576,164.1373,78.48999,139.291082,4.165724,-8.64426,9.13713,-1.48975,50,5.63616,5.84355,-126.52891,-4.73588,-14.01838,25.7322,-17.35641,ROA_COL,AVE_COU,LewisGale,D3,ODAC,20230411-LewisGale-1,c2c078a0-d8b4-11ed-8084-efcd4fafaf30,87.61273,78.28833,,7.28591,,,,1.29602,2.44758,-0.25296,84a3cc85-0932-4fbb-896d-00b7e54fec65,4/11/2023,03:58.0,2023-04-11T18:03:57.9744048-04:00,2023-04-11T22:03:57.9744048Z,Popup,v3,roanoke,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,9afa224b-8806-4cf7-b9ba-2bd59c501699,53.81199,-127.3018,12.8661,5.77058,-4.21457,-8.67821,-1.67159,6.2646,-7.00919,322.547859,1.30591,-28.91183,-2.97728,-0.42607,2.04448,-1.30277,0.39203,-0.05749,0.00329,2.44573,83.1938,-27.63056,4.21445,-1.80781,0.87358,-0.28232,0.04774,-0.0032,-0.24597,44.8665,-10.57688,1.97091,0.37873,-0.32901,0.06888,-0.00375,-0.0002,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,4/11/2023,04:11.1,2,3,"Murphy, Jackson",10061473,Right,ROA_COL,"Brophy, Brandt",,Right,AVE_COU,Undefined,1,Top,1,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,86.36642,-2.927124,-5.530893,2363.426958,228.495981,1:30,5.78,1.67613,6.9715,-20.39954,15.80461,16.54013,1.40254,-1.99248,79.1264,-6.83462,-2.519762,0.433062,,,,,,,,,,,,-10.30327,9.58398,-1.33812,50,5.59092,11.52279,-125.00169,-6.90362,-16.32857,24.81566,-16.98543,ROA_COL,AVE_COU,LewisGale,D3,ODAC,20230411-LewisGale-1,ca9e7a90-d8b4-11ed-8084-efcd4fafaf30,87.03698,,,7.24003,,,,,,,84a3cc85-0932-4fbb-896d-00b7e54fec65,4/11/2023,04:11.1,2023-04-11T18:04:11.1394096-04:00,2023-04-11T22:04:11.1394096Z,,v3,roanoke,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,134c3f3a-1901-4340-82b9-82b3c6109b9f,53.52939,-125.7004,12.40783,5.77856,-6.42538,-8.49271,-1.66903,11.98254,-8.16429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,4/11/2023,04:23.3,2,4,"Murphy, Jackson",10061473,Right,ROA_COL,"Brophy, Brandt",,Right,AVE_COU,Undefined,1,Top,1,2,1,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,87.29923,-1.751685,-3.370155,2445.091513,231.048709,1:45,5.82289,1.56841,6.90876,-20.476,14.75977,16.89977,2.51793,-0.09623,80.06181,-5.671783,-0.282851,0.427232,67.23304,38.752127,141.992797,5052.85815,,,,,66.13155,,,-9.9767,8.68245,-1.36186,50,5.70508,6.88397,-126.8497,-4.39357,-16.28097,25.56931,-18.00514,ROA_COL,AVE_COU,LewisGale,D3,ODAC,20230411-LewisGale-1,d1e126e0-d8b4-11ed-8084-efcd4fafaf30,88.22486,40.21172,,7.23742,,,,1.43092,2.54519,0.11127,84a3cc85-0932-4fbb-896d-00b7e54fec65,4/11/2023,04:23.3,2023-04-11T18:04:23.3405232-04:00,2023-04-11T22:04:23.3405232Z,,v3,roanoke,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,5dce83ac-8e53-4416-93bf-7d4774cbfe3a,53.59367,-127.57203,12.78466,5.82201,-3.88493,-9.00257,-1.56283,7.3439,-8.14049,307.542502,1.43092,-60.5927,0.48175,1.58427,-0.59155,0.17922,-0.0443,0.01114,-0.00172,2.54519,61.72411,-26.1079,3.23796,-0.67604,0.12132,-0.01853,0.00171,0.00027,0.11127,47.35247,-12.77486,2.62612,-0.56352,0.08651,-0.01011,-0.00221,0.00131,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,4/11/2023,04:38.8,2,5,"Murphy, Jackson",10061473,Right,ROA_COL,"Brophy, Brandt",,Right,AVE_COU,Undefined,1,Top,1,2,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.72105,1.173536,-2.34479,2450.752926,101.689037,9:30,5.57265,1.70066,6.15419,-41.52002,3.8678,-12.69075,3.19797,-1.52453,72.09122,-6.496836,-4.629187,0.484888,,,,,,,,,,,,5.98681,2.09874,-1.516,50,5.64052,5.06971,-112.9946,1.09717,7.81167,18.80739,-29.43558,ROA_COL,AVE_COU,LewisGale,D3,ODAC,20230411-LewisGale-1,db26cf20-d8b4-11ed-8084-efcd4fafaf30,77.73436,,,5.62983,,,,,,,84a3cc85-0932-4fbb-896d-00b7e54fec65,4/11/2023,04:38.8,2023-04-11T18:04:38.8162864-04:00,2023-04-11T22:04:38.8162864Z,,v3,roanoke,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,00c43533-2a34-436d-9187-15098d6b857a,54.34816,-113.71603,9.40369,5.57678,2.22628,-14.71779,-1.70472,4.77007,3.90584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
