PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,4/25/2023,01:33.4,1,1,"Roy, Colby",1000106009,Right,ROA_COL,"Vestal, Bryce",1000124858,Left,GUI_QUA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Double,0,0,,86.16315,-0.432159,-2.774522,2259.029119,220.067511,1:15,5.53677,1.46338,5.93678,-24.44694,12.8502,9.89323,3.09812,-0.28819,79.3802,-4.996942,-0.99983,0.439551,98.87047,21.861158,31.38602,1936.573168,90.0612,35.58129,63.15831,300.26546,299.207,42.035306,3.137963,-5.80784,7.04178,-1.24756,50,5.48834,5.674,-125.17491,-1.71296,-9.29144,23.30146,-20.90859,ROA_COL,GUI_QUA,LewisGale,D3,ODAC,20230425-LewisGale-1,bb77ea50-e3b4-11ed-9c05-9d869eec88b5,85.75217,40.63678,,6.78295,,,,1.68164,3.08532,0.20862,64347058-f201-4479-a6e7-f500a452c335,4/25/2023,01:33.4,2023-04-25T18:01:33.4241992-04:00,2023-04-25T22:01:33.4241992Z,LineDrive,v3,roanoke,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,84eded69-40a5-44ff-9dc9-f5f7fb08342b,54.56487,-126.0218,11.65073,5.53679,-0.95304,-10.4543,-1.45991,6.0117,-4.64572,248.67933,1.68178,114.88599,-23.99514,5.54516,-1.29511,0.28772,-0.05514,0.00632,-0.00027,3.08524,53.99847,-21.85415,2.17732,-0.42678,0.09218,-0.02067,0.00396,-0.00036,0.20866,70.08723,-0.43293,-1.35473,0.69536,-0.29977,0.09402,-0.01714,0.00132,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,4/25/2023,02:15.7,2,1,"Roy, Colby",1000106009,Right,ROA_COL,"Sumner, Michael ",10015387,Right,GUI_QUA,Undefined,1,Top,0,0,0,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,85.34542,-1.369366,-3.560592,2180.277538,223.124763,1:30,5.63688,1.24956,6.02316,-24.31206,13.75942,11.80072,2.33985,-1.06919,78.46831,-5.918834,-1.442121,0.44409,66.80326,19.562647,162.20474,3857.272332,-106.94202,9.50376,25.75626,137.69605,61.72806,167.567942,1.707029,-7.05343,7.80182,-0.97706,50,5.51614,7.24958,-123.84895,-3.70409,-11.01105,23.55608,-19.9947,ROA_COL,GUI_QUA,LewisGale,D3,ODAC,20230425-LewisGale-1,d4b0d310-e3b4-11ed-9c05-9d869eec88b5,84.87559,14.88011,,6.87711,,,,1.24978,2.27337,1.07385,64347058-f201-4479-a6e7-f500a452c335,4/25/2023,02:15.7,2023-04-25T18:02:15.7068488-04:00,2023-04-25T22:02:15.7068488Z,LineDrive,v3,roanoke,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,e58be4b6-e6a1-43b3-9d4c-bea4f69311b7,54.47857,-124.69786,11.77804,5.63664,-2.98352,-9.99735,-1.24547,7.64639,-5.50552,297.415799,1.24978,-87.90506,6.85667,-1.49143,0.26855,-0.04098,0.00217,0.00144,-0.00031,2.27337,32.8068,-22.83163,2.20131,-0.42179,0.10296,-0.04381,0.01524,-0.0023,1.07385,28.21496,-10.25906,2.90082,-0.62205,0.05743,0.04227,-0.02445,0.00426,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
3,4/25/2023,02:33.9,2,2,"Roy, Colby",1000106009,Right,ROA_COL,"Sumner, Michael ",10015387,Right,GUI_QUA,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.63658,-0.231122,-1.531697,1799.797643,246.736572,2:15,5.3193,1.4719,6.12219,-36.91203,6.42811,12.00599,2.02955,1.05602,73.58791,-7.071056,0.634241,0.473824,,,,,,,,,,,,-6.60945,3.77461,-1.36078,50,5.28229,2.66329,-115.8129,-1.57158,-9.03576,20.29764,-27.01379,ROA_COL,GUI_QUA,LewisGale,D3,ODAC,20230425-LewisGale-1,df8ad6f0-e3b4-11ed-9c05-9d869eec88b5,79.54952,,,6.04867,,,,,,,64347058-f201-4479-a6e7-f500a452c335,4/25/2023,02:33.9,2023-04-25T18:02:33.8637512-04:00,2023-04-25T22:02:33.8637512Z,,v3,roanoke,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,18138aa7-b328-43eb-8f2d-ee24f64e9a55,54.37947,-116.57793,10.14882,5.32234,-0.55342,-13.50689,-1.46758,3.00385,-4.51788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,4/25/2023,02:52.4,2,3,"Roy, Colby",1000106009,Right,ROA_COL,"Sumner, Michael ",10015387,Right,GUI_QUA,Undefined,1,Top,0,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.86676,2.475312,-0.420294,2199.579338,86.723999,9:00,5.46764,1.3222,5.24202,-49.82672,0.75768,-11.18835,3.64336,-0.00518,69.31485,-6.576468,-2.403518,0.511894,,,,,,,,,,,,5.46831,0.23539,-1.27501,50,5.65812,1.22791,-108.72735,3.04577,6.61925,17.06332,-31.8891,ROA_COL,GUI_QUA,LewisGale,D3,ODAC,20230425-LewisGale-1,ea944f40-e3b4-11ed-9c05-9d869eec88b5,73.63335,,,5.55192,,,,,,,64347058-f201-4479-a6e7-f500a452c335,4/25/2023,02:52.4,2023-04-25T18:02:52.3875528-04:00,2023-04-25T22:02:52.3875528Z,,v3,roanoke,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,d2b3e7fa-e761-48c5-98c8-88b2b7e30cc0,55.26004,-109.54973,8.53166,5.47429,4.5827,-15.94455,-1.32651,0.90888,3.30963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,4/25/2023,03:10.3,2,4,"Roy, Colby",1000106009,Right,ROA_COL,"Sumner, Michael ",10015387,Right,GUI_QUA,Undefined,1,Top,0,2,1,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,78.80118,0.323056,-2.364494,1691.714079,231.072062,1:45,5.27346,1.55296,6.32856,-36.50778,6.87611,7.16717,2.5289,-0.02845,73.66855,-6.443091,-1.068154,0.474062,91.95625,33.833539,-30.544715,3810.842404,92.50145,71.08441,-59.52707,324.97182,307.3796,-38.186535,5.599944,-4.28815,3.83874,-1.38381,50,5.27931,4.49747,-114.71967,-0.38872,-5.83186,17.13921,-26.9534,ROA_COL,GUI_QUA,LewisGale,D3,ODAC,20230425-LewisGale-1,f53b3530-e3b4-11ed-9c05-9d869eec88b5,79.50945,98.50064,,5.13264,,,,2.27921,2.6523,0.00779,64347058-f201-4479-a6e7-f500a452c335,4/25/2023,03:10.3,2023-04-25T18:03:10.2727880-04:00,2023-04-25T22:03:10.2727880Z,FlyBall,v3,roanoke,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,182ed585-7a84-4517-ad29-22ff63477ad1,54.17499,-115.34173,8.5696,5.27567,0.58953,-13.4767,-1.55088,4.70914,-2.91593,161.360744,2.2857,96.35993,-23.24521,5.12755,-0.65845,-0.01332,0.01978,-0.00267,0.00012,2.64698,75.18092,-16.12658,0.80308,-0.19374,0.03904,0.00011,-0.00092,7.00E-05,0.00561,-56.89414,7.53282,-1.03758,-0.00253,0.05084,-0.01313,0.00144,-6.00E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,4/25/2023,03:53.0,3,1,"Roy, Colby",1000106009,Right,ROA_COL,"Hairston, Isaiah",1000082819,Left,GUI_QUA,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.9799,0.981004,-0.400478,1659.985422,250.629986,2:15,5.22638,1.83519,6.06982,-39.57542,4.59213,9.40359,2.83636,2.24822,72.84679,-6.348592,1.293876,0.478325,,,,,,,,,,,,-4.91764,2.5548,-1.80889,50,5.28151,0.45411,-114.84492,0.76138,-6.60965,20.00037,-28.74021,ROA_COL,GUI_QUA,LewisGale,D3,ODAC,20230425-LewisGale-1,0eba75c0-e3b5-11ed-9c05-9d869eec88b5,78.80091,,,6.13312,,,,,,,64347058-f201-4479-a6e7-f500a452c335,4/25/2023,03:53.0,2023-04-25T18:03:53.0449096-04:00,2023-04-25T22:03:53.0449096Z,,v3,roanoke,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,b3db5164-f97b-49f9-b760-661cf150c7c4,54.43044,-115.61391,10.00018,5.23099,1.86641,-14.37011,-1.83123,0.70824,-3.30483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,4/25/2023,04:12.8,3,2,"Roy, Colby",1000106009,Right,ROA_COL,"Hairston, Isaiah",1000082819,Left,GUI_QUA,Undefined,1,Top,1,1,0,ChangeUp,Changeup,InPlay,Undefined,FlyBall,HomeRun,0,2,,78.4401,-0.057029,-2.313172,1641.29118,220.720154,1:15,5.22678,1.69802,6.12307,-37.40222,6.87674,4.92193,2.05717,-0.03145,73.16686,-6.962826,-1.426198,0.478928,104.55195,30.810889,17.900966,3005.332919,104.57334,66.23435,34.1221,393.85299,381.32237,18.369869,6.024323,-3.10583,3.9017,-1.52354,50,5.20248,4.44206,-114.13441,-1.20896,-4.16575,17.69645,-26.94083,ROA_COL,GUI_QUA,LewisGale,D3,ODAC,20230425-LewisGale-1,1a81e6e0-e3b5-11ed-9c05-9d869eec88b5,78.70171,112.80056,,5.27325,,,,3.01861,2.26438,-0.01162,64347058-f201-4479-a6e7-f500a452c335,4/25/2023,04:12.8,2023-04-25T18:04:12.8342728-04:00,2023-04-25T22:04:12.8342728Z,FlyBall,v3,roanoke,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,0566d631-5884-486e-a7ab-d557f0704eb4,54.38028,-114.81156,8.84823,5.22902,-0.17808,-13.47041,-1.69656,4.60147,-2.08287,186.130273,3.02709,125.17263,-28.78797,6.65027,-1.04705,0.08702,0.00039,-0.0006,3.00E-05,2.25806,78.6424,-14.50078,0.12056,0.03868,-0.02131,0.00868,-0.0014,8.00E-05,-0.00945,40.44561,-7.1849,1.15425,-0.09279,-0.01055,0.0037,-0.00035,1.00E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,4/25/2023,05:00.5,4,1,"Roy, Colby",1000106009,Right,ROA_COL,"Smith, Rylan",10022718,Right,GUI_QUA,Undefined,1,Top,1,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.17452,-1.538561,-3.215467,2171.289209,233.766678,1:45,5.46198,1.20567,5.93942,-26.87352,10.51808,12.82666,1.79264,-0.71151,79.41773,-6.528872,-0.913995,0.440107,,,,,,,,,,,,-7.39607,6.14575,-0.95613,50,5.32386,6.50749,-125.07668,-4.23057,-11.79892,23.56263,-22.36975,ROA_COL,GUI_QUA,LewisGale,D3,ODAC,20230425-LewisGale-1,36e8b700-e3b5-11ed-9c05-9d869eec88b5,85.6438,,,6.75679,,,,,,,64347058-f201-4479-a6e7-f500a452c335,4/25/2023,05:00.5,2023-04-25T18:05:00.4848328-04:00,2023-04-25T22:05:00.4848328Z,,v3,roanoke,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,130d6d44-a270-48ad-9aa1-a288381039c1,54.56142,-125.93305,11.78132,5.46284,-3.41756,-11.18488,-1.20043,6.93632,-5.89946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,4/25/2023,05:13.5,4,2,"Roy, Colby",1000106009,Right,ROA_COL,"Smith, Rylan",10022718,Right,GUI_QUA,Undefined,1,Top,1,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.1203,0.021254,-2.225256,2209.731054,92.097109,9:00,5.38579,1.2559,5.42261,-48.38097,1.92528,-11.39713,1.37397,-1.7793,69.47618,-8.770983,-4.252499,0.510484,,,,,,,,,,,,5.13866,1.42661,-1.05013,50,5.354,4.66241,-109.04937,-1.51584,6.19922,18.84549,-30.45301,ROA_COL,GUI_QUA,LewisGale,D3,ODAC,20230425-LewisGale-1,3eb63e30-e3b5-11ed-9c05-9d869eec88b5,73.83664,,,5.64412,,,,,,,64347058-f201-4479-a6e7-f500a452c335,4/25/2023,05:13.5,2023-04-25T18:05:13.5080136-04:00,2023-04-25T22:05:13.5080136Z,,v3,roanoke,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,da87c43b-cdb7-452d-b4cd-282e8eb178e2,55.07889,-109.92358,9.42275,5.39155,-0.10318,-15.22651,-1.25974,4.37485,3.09961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,4/25/2023,05:26.6,4,3,"Roy, Colby",1000106009,Right,ROA_COL,"Smith, Rylan",10022718,Right,GUI_QUA,Undefined,1,Top,1,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.21877,0.398622,-2.355108,2234.322298,85.669526,8:45,5.45299,1.294,5.34664,-49.55692,0.76693,-9.78402,1.69748,-1.73173,69.51702,-8.596613,-4.092439,0.510574,,,,,,,,,,,,4.27296,0.74272,-1.07449,50,5.45341,4.85958,-109.16932,-0.86027,5.16734,18.8468,-31.27589,ROA_COL,GUI_QUA,LewisGale,D3,ODAC,20230425-LewisGale-1,46812d50-e3b5-11ed-9c05-9d869eec88b5,73.8237,,,5.70175,,,,,,,64347058-f201-4479-a6e7-f500a452c335,4/25/2023,05:26.6,2023-04-25T18:05:26.6256072-04:00,2023-04-25T22:05:26.6256072Z,,v3,roanoke,,,"Rhoads, Spencer",1000213596,Right,ROA_COL,832f676a-15ae-4bae-aa1f-85f41c6ddd4b,55.15485,-110.05564,9.4234,5.45928,0.61057,-15.63795,-1.29731,4.61657,2.58367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
