PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,4/3/2023,00:16.9,1,1,"Murphy, Jackson",10061473,Right,ROA_COL,"Thomas, Ben",1000124293,Right,FER_COL,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.45207,-2.405996,-4.379953,2469.798242,230.05341,1:45,5.68719,1.82346,6.72822,-21.36828,14.08792,15.49147,1.69989,-0.89629,80.25658,-6.467772,-1.564746,0.428566,,,,,,,,,,,,-9.3493,8.43682,-1.53916,50,5.5193,9.1428,-126.81274,-5.90493,-15.26949,25.21613,-18.39488,ROA_COL,FER_COL,LewisGale,D3,ODAC,20230403-LewisGale-1,eb383890-d26a-11ed-9b59-613ea34e04d8,87.95019,,,7.19549,,,,,,,323f45bd-d8e1-4420-a66c-5b2bf35e4caf,4/3/2023,00:16.9,2023-04-03T18:00:16.9338392-04:00,2023-04-03T22:00:16.9338392Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,14db5ed7-65f2-4e89-b9a7-b948d4e67907,53.77281,-127.56074,12.60807,5.68637,-5.35928,-9.19744,-1.81709,9.59575,-7.63474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,4/3/2023,00:26.5,1,2,"Murphy, Jackson",10061473,Right,ROA_COL,"Thomas, Ben",1000124293,Right,FER_COL,Undefined,1,Top,0,0,1,Slider,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,76.38216,0.297383,-1.316039,2454.958372,98.923038,9:15,5.48457,2.05847,5.97478,-44.14849,3.83713,-14.51682,2.08129,-0.37153,69.9509,-7.859372,-3.926036,0.498571,62.77254,29.552953,128.685192,3856.372428,-77.84621,28.06516,77.71713,167.56616,69.54784,139.541236,2.694771,7.08174,2.33917,-1.94625,50,5.48366,3.06497,-110.9377,-0.73462,8.76021,21.21916,-29.28044,ROA_COL,FER_COL,LewisGale,D3,ODAC,20230403-LewisGale-1,f0fc0d10-d26a-11ed-9b59-613ea34e04d8,75.60096,29.68913,,6.43126,,,,0.96623,1.86873,0.25422,323f45bd-d8e1-4420-a66c-5b2bf35e4caf,4/3/2023,00:26.5,2023-04-03T18:00:26.5335320-04:00,2023-04-03T22:00:26.5335320Z,FlyBall,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,768f95fa-9b2e-4590-8b38-582b8c6e3acd,54.52608,-111.80005,10.60958,5.48934,0.45535,-14.64022,-2.06358,2.70896,4.38011,292.636987,0.96608,-50.05094,-0.3331,0.89025,-0.48159,0.28086,-0.1024,0.01983,-0.00156,1.86863,45.41404,-20.30165,1.80164,-0.44856,0.14439,-0.02906,0.00174,0.00014,0.2547,62.49188,-10.06431,0.59828,0.76988,-0.81824,0.36093,-0.07644,0.00639,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,4/3/2023,00:41.3,1,3,"Murphy, Jackson",10061473,Right,ROA_COL,"Thomas, Ben",1000124293,Right,FER_COL,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.11201,-0.417651,-2.895263,2477.947714,213.359197,1:00,5.7289,1.76436,6.58714,-20.97816,13.77363,8.41252,3.5975,-0.19,81.23391,-4.396143,-1.368084,0.424287,,,,,,,,,,,,-5.13485,7.65945,-1.56917,50,5.69119,6.16041,-128.10366,-1.51049,-8.61393,24.10589,-19.32494,ROA_COL,FER_COL,LewisGale,D3,ODAC,20230403-LewisGale-1,f9bcf4f0-d26a-11ed-9b59-613ea34e04d8,88.83711,,,6.8781,,,,,,,323f45bd-d8e1-4420-a66c-5b2bf35e4caf,4/3/2023,00:41.3,2023-04-03T18:00:41.2573720-04:00,2023-04-03T22:00:41.2573720Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,4117d209-285b-49ff-8b5c-61296609be75,53.91346,-128.83797,12.05295,5.72824,-0.92182,-9.66247,-1.76082,6.4228,-4.30697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,4/3/2023,00:53.4,1,4,"Murphy, Jackson",10061473,Right,ROA_COL,"Thomas, Ben",1000124293,Right,FER_COL,Undefined,1,Top,0,1,2,Slider,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,76.6214,1.208111,-0.529426,2448.091801,94.739362,9:15,5.44729,1.82335,5.67142,-45.19715,2.72248,-15.18017,2.80747,0.06471,70.44054,-7.09173,-3.243637,0.498228,76.40665,27.210603,76.619961,3339.576633,16.32254,44.42371,108.78221,263.75818,135.11602,89.649058,3.844121,7.58666,1.47339,-1.76881,50,5.52069,1.58902,-111.31607,0.92712,9.51818,20.00393,-30.32554,ROA_COL,FER_COL,LewisGale,D3,ODAC,20230403-LewisGale-1,010323b0-d26b-11ed-9b59-613ea34e04d8,75.65301,48.05482,,6.18086,,,,0.794,2.73748,0.13471,323f45bd-d8e1-4420-a66c-5b2bf35e4caf,4/3/2023,00:53.4,2023-04-03T18:00:53.4120472-04:00,2023-04-03T22:00:53.4120472Z,LineDrive,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,a19a6451-8114-4ce8-b2c7-1e7e8c1d2769,54.83049,-112.18077,10.00196,5.45228,2.23798,-15.16277,-1.8286,1.17758,4.75909,,0.7936,23.07421,-11.08451,2.56989,-0.67557,0.19868,-0.04927,0.00742,-0.00047,2.73823,51.22053,-15.54922,0.55465,0.17602,-0.1563,0.05391,-0.00873,0.00054,0.13406,96.97508,-13.24368,2.92096,-0.79902,0.25886,-0.06892,0.01071,-0.00068,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
5,4/3/2023,01:07.7,1,5,"Murphy, Jackson",10061473,Right,ROA_COL,"Thomas, Ben",1000124293,Right,FER_COL,Undefined,1,Top,0,1,2,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,87.0158,-0.2544,-3.672527,2266.828463,242.975083,2:00,5.56897,1.82871,6.64366,-25.95301,9.71048,16.97682,3.17287,-0.12296,80.07854,-5.148015,-0.588485,0.429817,,,,,,,,,,,,-9.88398,5.51075,-1.58687,50,5.5411,7.49036,-126.44391,-1.30016,-16.11464,24.07872,-23.18943,ROA_COL,FER_COL,LewisGale,D3,ODAC,20230403-LewisGale-1,097e7710-d26b-11ed-9b59-613ea34e04d8,87.69423,,,6.93726,,,,,,,323f45bd-d8e1-4420-a66c-5b2bf35e4caf,4/3/2023,01:07.7,2023-04-03T18:01:07.6716568-04:00,2023-04-03T22:01:07.6716568Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,088d5d95-4260-4604-b07a-091ce3dd7084,53.85842,-127.17655,12.03936,5.56992,-0.59458,-11.59471,-1.82223,7.98068,-8.05732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,4/3/2023,01:25.4,1,6,"Murphy, Jackson",10061473,Right,ROA_COL,"Thomas, Ben",1000124293,Right,FER_COL,Undefined,1,Top,0,1,2,Slider,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,72.9441,1.7284,0.493396,2244.734439,83.918978,8:45,5.62249,1.89039,5.72222,-52.91806,-0.25339,-17.16997,2.82316,0.91916,67.28156,-7.970814,-2.581235,0.522313,55.25835,-6.055439,54.169749,2271.097648,,,,18.36858,18.36858,51.524709,0.239001,8.90056,-0.14654,-1.92069,50,5.73398,-0.31425,-106.00594,1.6109,10.14817,17.78018,-32.34114,ROA_COL,FER_COL,LewisGale,D3,ODAC,20230403-LewisGale-1,14170520-d26b-11ed-9b59-613ea34e04d8,72.16441,2.77524,,5.66255,,,,0.54391,2.77524,-0.86415,323f45bd-d8e1-4420-a66c-5b2bf35e4caf,4/3/2023,01:25.4,2023-04-03T18:01:25.3696536-04:00,2023-04-03T22:01:25.3696536Z,GroundBall,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,1b81e3b6-7a0d-484c-856b-b99a55884b4c,54.781,-106.80483,8.89009,5.62896,3.06405,-16.17057,-1.89633,-0.77023,5.07408,239.884131,0.54462,47.13869,-6.70517,,,,,,,2.77565,-8.57215,-12.73244,,,,,,,-0.86354,65.30743,-6.39502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,4/3/2023,01:45.7,1,7,"Murphy, Jackson",10061473,Right,ROA_COL,"Thomas, Ben",1000124293,Right,FER_COL,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,88.3714,-1.515625,-3.126889,2518.917482,208.375608,1:00,5.6929,1.67076,6.70812,-21.15974,13.05701,6.55512,2.54152,-0.64462,82.08309,-5.511413,-1.934341,0.421008,72.89985,34.420053,140.59715,4237.971258,,,,,67.74446,,,-4.20831,7.5604,-1.46554,50,5.58356,6.78452,-128.51892,-3.9834,-7.14807,22.74918,-19.33216,ROA_COL,FER_COL,LewisGale,D3,ODAC,20230403-LewisGale-1,201787a0-d26b-11ed-9b59-613ea34e04d8,89.52895,38.80666,,6.28832,,,,0.8134,2.46446,0.59873,323f45bd-d8e1-4420-a66c-5b2bf35e4caf,4/3/2023,01:45.6,2023-04-03T18:01:45.6503832-04:00,2023-04-03T22:01:45.6503832Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,d9401d85-934d-45b6-89a8-0a7e72614565,53.79414,-129.18878,11.37459,5.69247,-3.41416,-9.66608,-1.66842,6.995,-3.57404,288.970053,0.8134,-68.15118,1.96708,0.51916,-1.34509,2.88845,-3.40926,2.056,-0.50136,2.46446,60.43689,-22.27763,2.21281,-0.40561,-0.03958,0.15556,-0.11075,0.02976,0.59872,55.98725,-14.52754,3.14084,-1.75834,2.75751,-3.12966,1.8542,-0.44552,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,4/3/2023,02:11.0,1,8,"Murphy, Jackson",10061473,Right,ROA_COL,"Thomas, Ben",1000124293,Right,FER_COL,Undefined,1,Top,0,1,2,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,85.88401,0.472081,-3.366252,2382.265466,254.760567,2:30,5.55706,2.06146,6.63195,-31.22049,5.35315,15.7669,3.38834,0.2897,79.14547,-5.379868,-0.501369,0.435267,85.00427,-51.420272,79.698947,,,,,2.47323,0.9508,67.48295,0.034004,-9.18619,3.02043,-1.83945,50,5.57624,6.77627,-124.85728,0.11777,-14.61247,23.3318,-27.36942,ROA_COL,FER_COL,LewisGale,D3,ODAC,20230403-LewisGale-1,2f40e870-d26b-11ed-9b59-613ea34e04d8,86.59618,3.32506,,6.73853,,,,0.47283,3.32506,-0.325,323f45bd-d8e1-4420-a66c-5b2bf35e4caf,4/3/2023,02:11.0,2023-04-03T18:02:11.0404632-04:00,2023-04-03T22:02:11.0404632Z,GroundBall,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,6ce6649d-61c4-4345-8a09-629a3c0da23e,53.87087,-125.57853,11.6659,5.55953,0.96384,-13.68471,-2.0559,7.22799,-7.30623,,0.47258,13.94859,,,,,,,,3.32682,-97.78413,,,,,,,,-0.32639,76.74614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
9,4/3/2023,02:29.1,1,9,"Murphy, Jackson",10061473,Right,ROA_COL,"Thomas, Ben",1000124293,Right,FER_COL,Undefined,1,Top,0,1,2,Slider,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,78.37646,-1.146011,-2.054719,2467.721193,93.363261,9:00,5.40458,1.90218,5.89363,-43.2051,2.0541,-12.70123,0.73927,-1.06484,72.7841,-9.04323,-4.335543,0.4842,,,,,,,,,,,,6.01638,1.72441,-1.72912,50,5.28709,4.54126,-113.89857,-3.61974,7.937,20.08641,-29.89913,ROA_COL,FER_COL,LewisGale,D3,ODAC,20230403-LewisGale-1,3a698180-d26b-11ed-9b59-613ea34e04d8,77.84477,,,5.59236,,,,,,,323f45bd-d8e1-4420-a66c-5b2bf35e4caf,4/3/2023,02:29.1,2023-04-03T18:02:29.0747416-04:00,2023-04-03T22:02:29.0747416Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,b49f35b9-0cda-4199-bf94-afba1dfdf6d6,54.60931,-114.70856,10.04321,5.40875,-2.41405,-14.94957,-1.90579,4.2212,3.9685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,4/3/2023,03:15.6,1,10,"Murphy, Jackson",10061473,Right,ROA_COL,"Thomas, Ben",1000124293,Right,FER_COL,Undefined,1,Top,0,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.02256,-1.057651,-2.438559,2530.609149,98.455276,9:15,5.40008,2.01732,5.95513,-43.70365,3.00225,-11.25103,0.77624,-1.18316,71.64192,-9.053725,-4.459968,0.491878,,,,,,,,,,,,5.19044,2.19721,-1.81697,50,5.29118,5.15855,-111.92542,-3.38281,6.62323,19.07854,-29.37032,ROA_COL,FER_COL,LewisGale,D3,ODAC,20230403-LewisGale-1,55cc2810-d26b-11ed-9b59-613ea34e04d8,76.62968,,,5.38064,,,,,,,323f45bd-d8e1-4420-a66c-5b2bf35e4caf,4/3/2023,03:15.6,2023-04-03T18:03:15.6267032-04:00,2023-04-03T22:03:15.6267032Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,0bec47ba-54cd-47b0-917d-7436ff8c1370,54.54771,-112.69795,9.53927,5.40408,-2.19355,-14.68516,-2.02042,4.89036,3.31161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
