PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,4/4/2023,03:00.5,1,1,"Roy, Colby",1000106009,Right,ROA_COL,"Lopez, Gabriel",1000216677,Right,MAR_SCT,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.60321,-0.685748,-1.959331,2172.40441,233.297991,1:45,5.91967,0.75544,5.63759,-23.94371,13.6815,16.74336,3.28418,0.32205,79.13643,-5.155933,1.030988,0.44148,,,,,,,,,,,,-8.9741,7.48721,-0.59943,50,5.84617,3.57718,-125.70216,-2.28889,-14.35719,25.5056,-20.19565,ROA_COL,MAR_SCT,LewisGale,D3,ODAC,20230404-LewisGale-1,51e39340-d31b-11ed-b1a2-1bcbea37350e,85.37745,,,7.46678,,,,,,,b5df2fd2-68e3-4aef-aa1f-27d4e41fe848,4/4/2023,03:00.5,2023-04-04T15:03:00.4844216-04:00,2023-04-04T19:03:00.4844216Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,99119b56-0284-4b96-9e02-b23680afa4c3,54.86171,-126.68478,12.7528,5.91936,-1.51084,-10.09783,-0.74789,4.1303,-7.1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,4/4/2023,03:14.6,1,2,"Roy, Colby",1000106009,Right,ROA_COL,"Lopez, Gabriel",1000216677,Right,MAR_SCT,Undefined,1,Top,0,1,0,Fastball,Changeup,InPlay,Undefined,LineDrive,Out,1,0,,86.01477,-1.285314,-2.108067,2196.889113,229.584749,1:45,5.59543,1.18685,5.76241,-24.68722,13.16997,14.08804,2.34082,0.39784,78.93323,-5.885701,0.414162,0.442839,99.07212,6.436049,-31.416973,1919.658213,,,,128.54617,85.24385,-35.495817,1.029303,-7.78603,7.41863,-1.021,50,5.47391,4.02401,-124.90226,-3.59892,-12.33154,24.54779,-20.4244,ROA_COL,MAR_SCT,LewisGale,D3,ODAC,20230404-LewisGale-1,5a4d0c50-d31b-11ed-b1a2-1bcbea37350e,85.11552,5.68203,,7.08154,,,,1.70584,2.22335,-0.27377,b5df2fd2-68e3-4aef-aa1f-27d4e41fe848,4/4/2023,03:14.6,2023-04-04T15:03:14.5836216-04:00,2023-04-04T19:03:14.5836216Z,GroundBall,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,e8770cff-ec38-4b70-bd15-01f5710e4410,54.73893,-125.83019,12.27389,5.59535,-2.82686,-10.2122,-1.18192,4.49014,-6.16577,87.993348,1.91877,120.35411,-20.13265,,,,,,,2.3172,15.0282,-16.86635,,,,,,,-0.24602,-75.66107,3.26905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
3,4/4/2023,03:40.2,2,1,"Roy, Colby",1000106009,Right,ROA_COL,"Fritts, Zach",1000062813,Left,MAR_SCT,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.15246,-0.3946,-0.641567,1969.187198,248.81036,2:15,5.28107,1.69059,5.89284,-35.37026,8.10965,17.38214,1.96714,2.54339,73.5303,-6.946659,2.481295,0.474587,,,,,,,,,,,,-9.02,4.70953,-1.64854,50,5.22914,0.63218,-116.45456,-1.90185,-12.37045,22.13867,-25.71518,ROA_COL,MAR_SCT,LewisGale,D3,ODAC,20230404-LewisGale-1,69a0ff90-d31b-11ed-b1a2-1bcbea37350e,79.42158,,,6.62216,,,,,,,b5df2fd2-68e3-4aef-aa1f-27d4e41fe848,4/4/2023,03:40.2,2023-04-04T15:03:40.2481336-04:00,2023-04-04T19:03:40.2481336Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,cb7fe600-9d0b-4c63-845f-d018c00a6f1d,54.60695,-117.3271,11.06933,5.28412,-0.88835,-12.85759,-1.68307,1.11972,-6.18522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,4/4/2023,03:52.9,2,2,"Roy, Colby",1000106009,Right,ROA_COL,"Fritts, Zach",1000062813,Left,MAR_SCT,Undefined,1,Top,1,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.25787,-2.608328,-2.353198,2131.057293,229.892156,1:45,5.87578,1.06174,5.73841,-23.60789,14.0354,15.29887,1.47589,0.14414,79.46956,-6.993176,0.384956,0.441586,,,,,,,,,,,,-8.42414,8.188,-0.87531,50,5.64384,4.51496,-125.16621,-6.46745,-13.4412,23.89888,-19.10965,ROA_COL,MAR_SCT,LewisGale,D3,ODAC,20230404-LewisGale-1,7125bdf0-d31b-11ed-b1a2-1bcbea37350e,85.35697,,,6.78831,,,,,,,b5df2fd2-68e3-4aef-aa1f-27d4e41fe848,4/4/2023,03:52.9,2023-04-04T15:03:52.9044664-04:00,2023-04-04T19:03:52.9044664Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,e95adc70-8fab-4b19-973b-68b21097cd24,54.76298,-126.07236,11.94944,5.87532,-5.74289,-9.55482,-1.05617,5.0246,-6.7206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,4/4/2023,04:07.0,2,3,"Roy, Colby",1000106009,Right,ROA_COL,"Fritts, Zach",1000062813,Left,MAR_SCT,Undefined,1,Top,1,2,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,86.75565,-1.477918,-1.676527,2220.348779,232.52179,1:45,5.74452,1.19347,5.59239,-24.41623,13.08056,15.52367,2.32895,0.92123,79.52855,-6.014622,1.094957,0.440726,52.48404,-36.884736,67.083168,,,,,4.78201,3.17944,26.845041,0.053555,-8.39355,7.38937,-1.06024,50,5.60186,3.04107,-125.96088,-4.06575,-13.49698,25.37524,-20.29181,ROA_COL,MAR_SCT,LewisGale,D3,ODAC,20230404-LewisGale-1,79883220-d31b-11ed-b1a2-1bcbea37350e,85.52357,2.49048,,7.22709,,,,2.97432,2.49048,-0.89743,b5df2fd2-68e3-4aef-aa1f-27d4e41fe848,4/4/2023,04:07.0,2023-04-04T15:04:06.9733560-04:00,2023-04-04T19:04:06.9733560Z,GroundBall,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,630c8cfe-332e-4dca-9199-564fe5122bb3,54.90946,-126.94605,12.68762,5.74442,-3.27793,-10.14591,-1.18847,3.56508,-6.74849,,2.97297,24.13112,,,,,,,,2.49307,-46.50322,,,,,,,,-0.90062,57.07956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
6,4/4/2023,04:37.2,3,1,"Roy, Colby",1000106009,Right,ROA_COL,"Carlton, Christian",1000216669,Right,MAR_SCT,Undefined,1,Top,2,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.48835,-2.003292,-2.892963,2194.779495,225.958152,1:30,5.73503,0.91854,5.55284,-25.88895,12.66918,11.89906,1.70254,-0.79543,78.80925,-6.784328,-0.772475,0.446919,,,,,,,,,,,,-6.77193,7.28323,-0.67623,50,5.54442,5.77047,-124.01747,-5.21172,-10.62289,23.12546,-20.74911,ROA_COL,MAR_SCT,LewisGale,D3,ODAC,20230404-LewisGale-1,8b930800-d31b-11ed-b1a2-1bcbea37350e,84.33834,,,6.6791,,,,,,,b5df2fd2-68e3-4aef-aa1f-27d4e41fe848,4/4/2023,04:37.2,2023-04-04T15:04:37.1779256-04:00,2023-04-04T19:04:37.1779256Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,b14cd183-4168-427c-9897-5635ac0b4d29,54.94812,-124.93674,11.56273,5.73519,-4.38692,-10.37455,-0.91401,6.19274,-5.31145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,4/4/2023,04:50.2,3,2,"Roy, Colby",1000106009,Right,ROA_COL,"Carlton, Christian",1000216669,Right,MAR_SCT,Undefined,1,Top,2,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.8168,0.127771,-2.82525,2233.288043,58.524206,8:00,5.70784,1.04866,5.42639,-55.17042,-5.22957,-11.2152,1.23013,-2.53431,69.59929,-9.874239,-4.820324,0.508627,,,,,,,,,,,,4.77197,-2.15575,-0.78993,50,5.68106,5.85197,-109.91588,-1.58301,5.78147,21.24153,-34.78586,ROA_COL,MAR_SCT,LewisGale,D3,ODAC,20230404-LewisGale-1,934f5120-d31b-11ed-b1a2-1bcbea37350e,74.10625,,,6.2175,,,,,,,b5df2fd2-68e3-4aef-aa1f-27d4e41fe848,4/4/2023,04:50.2,2023-04-04T15:04:50.1653688-04:00,2023-04-04T19:04:50.1653688Z,,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,7dd34385-0c11-4b25-80fe-a76bf9a56297,55.0751,-110.89232,10.62076,5.71707,0.01605,-17.39293,-1.05282,5.58621,2.89074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,4/4/2023,05:04.2,3,3,"Roy, Colby",1000106009,Right,ROA_COL,"Carlton, Christian",1000216669,Right,MAR_SCT,Undefined,1,Top,2,1,1,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,73.87592,1.711542,-0.479273,2140.479139,66.008526,8:15,5.64441,1.21303,5.41368,-55.39625,-3.46571,-11.2543,2.63206,-0.17385,68.21176,-8.362196,-2.483226,0.51866,88.41558,5.67155,25.867525,3100.921828,,,,105.17558,102.51726,30.113369,0.919877,5.56229,-1.78937,-1.16218,50,5.75753,1.30823,-107.31904,1.43267,6.50384,18.12181,-34.2663,ROA_COL,MAR_SCT,LewisGale,D3,ODAC,20230404-LewisGale-1,9bb8f140-d31b-11ed-b1a2-1bcbea37350e,72.67272,4.7828,,5.66416,,,,1.38145,2.47816,0.12987,b5df2fd2-68e3-4aef-aa1f-27d4e41fe848,4/4/2023,05:04.2,2023-04-04T15:05:04.2312376-04:00,2023-04-04T19:05:04.2312376Z,GroundBall,v3,,,,"Schiavoni, Tucker",1000119710,Right,ROA_COL,7745fd20-875b-45b4-8cbf-c0926c3f96da,55.08974,-108.17507,9.06091,5.65162,3.05133,-17.13315,-1.21672,1.00101,3.25192,269.132947,1.50795,114.22337,-18.56873,,,,,,,2.53292,12.00117,-16.09874,,,,,,,0.08328,57.01068,0.3328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,4/4/2023,07:21.5,1,1,"Gleason, Garrett",1000216680,Right,MAR_SCT,"Bonzon, Jacob",1000119702,Right,ROA_COL,Undefined,1,Bottom,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.22415,-1.672172,-3.092406,2070.057646,217.891789,1:15,5.61015,0.95936,5.34644,-23.90049,15.16095,10.89115,2.04716,-1.03663,78.54697,-6.089603,-1.160342,0.449827,,,,,,,,,,,,-6.24449,8.39209,-0.68855,50,5.44232,6.21026,-123.60012,-4.42042,-9.7449,22.60583,-19.07768,ROA_COL,MAR_SCT,LewisGale,D3,ODAC,20230404-LewisGale-1,ed82bf60-d31b-11ed-b1a2-1bcbea37350e,83.79322,,,6.67718,,,,,,,b5df2fd2-68e3-4aef-aa1f-27d4e41fe848,4/4/2023,07:21.5,2023-04-04T15:07:21.5338168-04:00,2023-04-04T19:07:21.5338168Z,,v3,,,,"Klepfer, Brice",1000216643,Right,MAR_SCT,d8793521-f1c7-4a71-af39-156dd552b973,55.15395,-124.53918,11.30292,5.60949,-3.62792,-9.53884,-0.95494,6.61507,-4.87245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,4/4/2023,07:33.5,1,2,"Gleason, Garrett",1000216680,Right,MAR_SCT,"Bonzon, Jacob",1000119702,Right,ROA_COL,Undefined,1,Bottom,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.41089,0.51241,-2.12436,2129.102316,213.396489,1:00,5.69128,0.94139,5.52975,-20.05257,18.52954,11.46595,4.49959,-0.08994,78.3895,-3.256145,-0.082452,0.447059,,,,,,,,,,,,-6.30516,9.56268,-0.76442,50,5.72258,4.11019,-124.01543,0.49198,-9.89408,23.03647,-17.16828,ROA_COL,MAR_SCT,LewisGale,D3,ODAC,20230404-LewisGale-1,f498b660-d31b-11ed-b1a2-1bcbea37350e,84.31209,,,7.02139,,,,,,,b5df2fd2-68e3-4aef-aa1f-27d4e41fe848,4/4/2023,07:33.5,2023-04-04T15:07:33.4787768-04:00,2023-04-04T19:07:33.4787768Z,,v3,,,,"Klepfer, Brice",1000216643,Right,MAR_SCT,c553da3e-6908-45f2-9bb0-590daab7e9ee,54.96966,-124.93515,11.51824,5.68925,1.17742,-8.58414,-0.9364,4.50521,-4.94704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
